,Baseline - RMSE,Model - RMSE,R2 Score - Train,R2 Score - Test
LinearRegression(),3.078159433622178,4.443236247967362,0.930906765969532,-17.067229240512436
KNeighborsRegressor(),3.078159433622178,3.927950448455748,0.9262683743297593,-13.11967645362222
SVR(),3.078159433622178,4.177346225815146,0.9515513183991507,-14.969587117516747
RandomForestRegressor(),3.078159433622178,4.00401819782806,0.9884672369025292,-13.671848351486913
DecisionTreeRegressor(),3.078159433622178,4.260782067575361,1.0,-15.6138921449346
AdaBoostRegressor(),3.078159433622178,3.9243613146183067,0.9175794647558174,-13.093884755811192
BaggingRegressor(),3.078159433622178,3.9893180773544397,0.9846448435433534,-13.564315361397297
