,Baseline - RMSE,Model - RMSE,R2 Score - Train,R2 Score - Test
LinearRegression(),9.34433230885089,32.39192243400829,0.8877208431736233,-327.46023001220067
KNeighborsRegressor(),9.34433230885089,9.352564995263009,0.9398297403551975,-26.382356164664742
SVR(),9.34433230885089,7.807376003184183,0.8675974040093468,-18.081808631232157
RandomForestRegressor(),9.34433230885089,11.473278683789747,0.9913980763381751,-40.20827455014338
DecisionTreeRegressor(),9.34433230885089,22.594975033561678,1.0,-158.82071772241994
AdaBoostRegressor(),9.34433230885089,10.643547636020541,0.913653446242111,-34.46354624278319
BaggingRegressor(),9.34433230885089,11.523215889036004,0.9878060360374233,-40.567771507085105
