,Name,Team,Pos,W,L,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,PTS,ERA,AVG,WHIP,FPPG,Projected_FPPG
187,Trevor May,NYM,RP,2,1,10,0,0,9.1,8,4,2,0,2,14,76,1.93,0.222,1.07,7.6,12.779651785568817
188,Sean Doolittle,CIN,RP,2,0,13,0,1,11.1,11,5,5,1,6,15,76,3.97,0.256,1.5,5.846153846153847,16.761296027657657
189,Tanner Scott,BAL,RP,1,2,13,0,0,12.1,6,4,3,0,12,14,76,2.19,0.133,1.46,5.846153846153847,26.755733762873543
190,Cole Sulser,BAL,RP,1,0,7,0,0,9.1,8,1,1,1,1,15,76,0.96,0.229,0.96,10.857142857142858,12.235518492930158
191,Will Vest,SEA,RP,1,0,14,0,0,15.1,11,3,2,0,7,10,76,1.17,0.212,1.17,5.428571428571429,19.682771093419213
192,Patrick Corbin,WSH,SP,1,3,5,5,0,23.1,27,22,21,7,14,18,75,8.1,0.293,1.76,15.0,28.808946896440016
193,José Quintana,LAA,SP,0,3,5,5,0,17.0,24,22,20,3,14,28,75,10.59,0.324,2.24,15.0,27.139314496549858
194,Ian Kennedy,TEX,RP,0,0,12,0,7,12.0,9,3,3,2,0,16,75,2.25,0.196,0.75,6.25,9.495903963732198
195,Emilio Pagán,SD,RP,2,0,13,0,0,11.0,10,4,4,3,5,14,75,3.27,0.238,1.36,5.769230769230768,15.715906705245121
196,Ryan Helsley,STL,RP,2,0,13,0,0,13.0,12,6,6,0,7,14,75,4.15,0.255,1.46,5.769230769230768,18.271530871557676
197,Tarik Skubal,DET,SP,0,4,6,4,0,22.0,23,16,15,8,14,18,75,6.14,0.264,1.68,12.5,29.432030397857194
198,Bryan Abreu,HOU,RP,1,1,10,0,0,14.2,12,8,7,2,6,15,74,4.3,0.222,1.23,7.4,17.392095143856164
199,Bryan Shaw,CLE,RP,1,0,12,0,0,12.1,3,3,3,1,8,13,73,2.19,0.075,0.89,6.083333333333332,21.60212933081366
200,David Phelps,TOR,RP,0,0,11,1,0,10.1,8,2,1,0,4,15,73,0.87,0.21600000000000005,1.16,6.636363636363638,15.905603913326079
201,Kyle Zimmer,KC,RP,2,0,11,0,1,13.1,7,5,5,1,5,12,73,3.38,0.163,0.9,6.636363636363638,16.717751577548967
202,Kolby Allard,TEX,RP,0,0,6,0,0,12.1,12,5,5,1,1,17,73,3.65,0.24,1.05,12.166666666666664,10.89262441287656
203,Ryan Borucki,TOR,SP,3,1,11,0,0,11.1,6,6,5,1,4,12,73,3.97,0.154,0.88,6.636363636363638,15.09911074219858
204,Hirokazu Sawamura,BOS,RP,1,0,11,0,0,12.1,10,5,5,3,5,15,73,3.65,0.227,1.22,6.636363636363638,15.959857299324625
205,Codi Heuer,CHW,RP,2,1,11,0,0,13.1,21,9,9,3,1,16,73,6.08,0.375,1.65,6.636363636363638,8.204963871961526
