Name,Team,Pos,GMS,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,TB,AVG,OBP,SLG,OPS,ISO,PTS,FPPG,Projected_FPPG
Patrick Kivlehan,SD,OF,5,4,3,1,0,0,0,2,2,3,0,0,1,0.25,0.5,0.25,0.75,0.0,28.6,5.7200000000000015,6.466779026317512
Robel García,HOU,2B,16,26,1,4,0,0,0,2,2,10,0,0,4,0.154,0.214,0.154,0.368,0.0,28.2,1.7625,2.634591598127183
Scott Schebler,LAA,OF,11,27,2,4,3,0,0,0,0,11,0,0,7,0.14800000000000002,0.14800000000000002,0.259,0.407,0.111,27.4,2.4909090909090907,3.4257309542061782
Jonathan Lucroy,WSH,C,5,14,0,5,1,0,0,2,0,2,0,0,6,0.35700000000000004,0.35700000000000004,0.429,0.7859999999999999,0.07200000000000001,25.0,5.0,6.212544935771298
Jon Jay,LAA,OF,5,14,2,5,0,0,0,1,0,2,0,0,5,0.35700000000000004,0.35700000000000004,0.35700000000000004,0.7140000000000001,0.0,24.9,4.98,5.373526396613807
Jonathan Araúz,BOS,SS,4,8,2,2,1,0,0,1,2,3,0,0,3,0.25,0.4,0.375,0.775,0.125,24.9,6.225,6.915666132988442
Scott Heineman,CIN,OF,9,11,1,1,0,0,1,1,1,4,0,0,4,0.091,0.231,0.364,0.595,0.273,24.7,2.7444444444444445,5.963889080863859
Luis Campusano,SD,C,11,34,0,3,0,0,0,1,4,11,0,0,3,0.08800000000000001,0.184,0.08800000000000001,0.272,0.0,24.5,2.227272727272727,2.3456742173812124
M. Payton,CIN,OF,23,21,2,4,0,0,0,0,2,7,0,0,4,0.19,0.261,0.19,0.451,0.0,24.4,1.0608695652173912,2.8544153249304944
Alex Jackson,ATL,C,10,23,2,1,0,0,0,0,2,13,0,0,1,0.043,0.214,0.043,0.257,0.0,24.4,2.44,2.436923338512613
