,Baseline - RMSE,Model - RMSE,R2 Score - Train,R2 Score - Test
LinearRegression(),3.078159433622178,2.3160933595073754,0.930906765969532,0.6573948175633255
KNeighborsRegressor(),3.078159433622178,3.5613976172513797,0.9262683743297593,0.18992965684158514
SVR(),3.078159433622178,3.2035751500575405,0.9515513183991507,0.34453178354738934
RandomForestRegressor(),3.078159433622178,3.2960886610454523,0.9884560000312191,0.3061276596408302
DecisionTreeRegressor(),3.078159433622178,3.3457253576775434,1.0,0.28507187709132964
AdaBoostRegressor(),3.078159433622178,3.4179329186754543,0.918738105648224,0.2538796676375005
BaggingRegressor(),3.078159433622178,3.3215895343626385,0.9851240281454112,0.29534955232475757
