,Baseline - RMSE,Model - RMSE,R2 Score - Train,R2 Score - Test
LinearRegression(),9.34433230885089,9.1958328205127,0.8877208431736233,0.3269098411479139
KNeighborsRegressor(),9.34433230885089,10.335534221271942,0.9398297403551975,0.1497297870383012
SVR(),9.34433230885089,11.105807800971167,0.8675974040093468,0.018271468560954962
RandomForestRegressor(),9.34433230885089,7.242901869683869,0.9911046017973681,0.582442480679324
DecisionTreeRegressor(),9.34433230885089,16.418868331531833,1.0,-1.1457422204449519
AdaBoostRegressor(),9.34433230885089,7.4818698731519815,0.903760178015325,0.5544346525444235
BaggingRegressor(),9.34433230885089,7.440610589238977,0.9867416033778734,0.5593353039529763
