Rank,Name,Team,Pos,GMS,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PTS
52,Austin Riley,ATL,LF,57,192,32,60,10,0,11,27,22,63,0,0,0.312,0.395,0.536,0.931,589.9
53,José Altuve,HOU,2B,49,202,39,60,6,0,9,27,24,34,2,1,0.297,0.368,0.46,0.828,585.3
54,Manny Machado,SD,3B,55,200,28,47,8,2,8,36,28,43,6,3,0.235,0.325,0.415,0.74,584.6
55,Alex Verdugo,BOS,CF,56,209,36,61,11,1,8,26,18,28,4,0,0.292,0.351,0.469,0.82,584.2
56,Nate Lowe,TEX,1B,62,224,27,54,7,0,8,31,35,74,4,0,0.241,0.345,0.379,0.724,581.9
57,Mookie Betts,LAD,RF,50,199,32,51,18,2,5,21,29,36,5,3,0.256,0.369,0.442,0.811,577.9
58,Kyle Seager,SEA,3B,62,229,23,49,14,1,11,36,21,62,2,0,0.214,0.285,0.428,0.713,577.6
59,Nick Solak,TEX,2B,62,232,36,55,10,2,8,26,16,68,2,1,0.237,0.31,0.401,0.711,572.2
60,Paul Goldschmidt,STL,1B,59,227,33,57,12,1,7,29,22,57,3,0,0.251,0.319,0.405,0.724,570.1
61,Jake Cronenworth,SD,SS,62,236,38,66,13,1,5,18,21,36,3,1,0.28,0.347,0.407,0.754,565.6
62,Ramón Laureano,OAK,CF,48,183,30,47,8,2,11,22,17,55,8,3,0.257,0.332,0.503,0.835,560
63,Avisaíl García,MIL,RF,54,186,29,46,6,0,12,34,16,53,4,2,0.247,0.319,0.473,0.792,559.8
64,Alex Bregman,HOU,3B,52,203,33,58,12,0,6,29,27,35,0,0,0.286,0.375,0.433,0.808,558.1
65,Andrew McCutchen,PHI,CF,54,192,27,43,7,1,10,29,33,59,3,0,0.224,0.335,0.427,0.762,553.9
66,Joey Wendle,TB,2B,56,182,35,51,16,1,6,27,13,42,4,4,0.28,0.343,0.478,0.821,545.5
67,Justin Upton,LAA,LF,52,180,29,41,7,0,14,29,22,63,2,1,0.228,0.312,0.5,0.812,545.3
68,Dylan Carlson,STL,CF,59,210,31,57,10,2,6,26,25,58,0,0,0.271,0.354,0.424,0.778,544.2
69,Raimel Tapia,COL,LF,59,222,29,62,10,0,5,31,17,33,5,3,0.279,0.328,0.392,0.72,543.3
70,Anthony Rizzo,CHC,1B,54,191,26,51,12,2,6,26,26,26,4,0,0.267,0.362,0.445,0.807,543.2
71,Tyler Naquin,CIN,RF,52,170,20,44,9,0,11,38,16,47,4,1,0.259,0.333,0.506,0.839,539
72,Tim Anderson,CHW,SS,47,196,34,59,8,0,6,23,10,51,10,5,0.301,0.337,0.434,0.771,537.3
73,Andrew Benintendi,KC,LF,55,201,27,58,6,1,6,29,17,41,7,6,0.289,0.344,0.418,0.762,535.9
74,Pavin Smith,ARI,1B,59,216,34,63,13,3,5,21,16,37,1,0,0.292,0.345,0.449,0.794,533.3
75,Garrett Hampson,COL,2B,58,197,33,48,13,4,5,16,16,50,11,2,0.244,0.301,0.426,0.727,530.6
76,Brandon Lowe,TB,2B,57,203,31,39,6,0,10,25,28,73,3,1,0.192,0.304,0.369,0.673,528.7
77,Yordan Alvarez,HOU,DH,47,183,32,54,13,1,8,30,8,52,0,0,0.295,0.342,0.508,0.85,528.4
78,Evan Longoria,SF,3B,50,161,28,45,11,0,9,30,25,42,1,1,0.28,0.376,0.516,0.892,524.6
79,Dansby Swanson,ATL,SS,58,214,25,50,12,1,10,27,15,65,2,3,0.234,0.289,0.439,0.728,522.5
80,Willson Contreras,CHC,C,55,184,29,45,5,0,10,25,22,60,3,2,0.245,0.341,0.435,0.776,522.3
81,Eugenio Suárez,CIN,3B,57,219,31,35,7,0,13,30,19,75,0,0,0.16,0.235,0.37,0.605,513.2
82,Cesar Hernández,CLE,2B,57,223,33,49,8,1,9,20,25,51,0,0,0.22,0.3,0.386,0.686,511.6
83,Juan Soto,WSH,LF,47,161,29,45,4,1,7,25,36,29,1,4,0.28,0.409,0.447,0.856,510.3
84,Nelson Cruz,MIN,DH,51,175,27,49,7,1,10,25,19,40,1,0,0.28,0.355,0.503,0.858,509.9
85,Charlie Blackmon,COL,RF,57,186,24,51,12,1,4,32,24,27,0,0,0.274,0.375,0.414,0.789,509.8
86,Freddy Galvis,BAL,SS,55,189,31,49,11,1,9,23,17,44,1,0,0.259,0.325,0.471,0.796,509.7
87,Tyler O'Neill,STL,LF,42,147,26,41,9,0,13,29,5,53,5,1,0.279,0.314,0.605,0.919,505.7
88,Jorge Polanco,MIN,SS,55,202,29,48,13,1,6,24,20,40,3,1,0.238,0.308,0.401,0.709,503.8
89,David Peralta,ARI,LF,58,211,25,52,12,5,4,30,18,39,1,1,0.246,0.306,0.408,0.714,503
90,Trevor Story,COL,SS,50,184,26,47,12,2,5,23,18,46,8,4,0.255,0.322,0.424,0.746,502.7
91,Ryan Mountcastle,BAL,OF,55,202,24,51,12,1,8,31,7,67,3,1,0.252,0.28,0.441,0.721,497.3
92,Jed Lowrie,OAK,2B,58,203,27,51,15,0,4,28,25,47,0,0,0.251,0.333,0.384,0.717,493.4
93,Jonathan Schoop,DET,2B,57,214,23,55,7,1,9,27,15,53,0,0,0.257,0.309,0.425,0.734,492.1
94,Eric Hosmer,SD,1B,55,206,19,55,8,0,5,33,16,34,4,1,0.267,0.324,0.379,0.703,488.3
95,Yermin Mercedes,CHW,C,56,196,20,57,7,1,7,31,17,36,0,1,0.291,0.349,0.444,0.793,487.5
96,Tommy Pham,SD,LF,59,171,23,38,3,2,4,19,38,43,9,2,0.222,0.366,0.333,0.699,485.1
97,Manuel Margot,TB,CF,55,196,21,48,8,2,6,33,10,32,6,4,0.245,0.28,0.398,0.678,482.7
98,Teoscar Hernández,TOR,LF,42,164,23,49,5,0,8,31,14,48,4,2,0.299,0.354,0.476,0.83,482.1
99,Buster Posey,SF,C,41,149,28,50,6,0,10,22,18,28,0,0,0.336,0.411,0.577,0.988,481.6
100,Josh Rojas,ARI,3B,57,190,29,48,12,1,7,17,22,56,2,0,0.253,0.329,0.437,0.766,479.3
101,Bryce Harper,PHI,RF,41,146,28,40,8,0,8,15,27,47,5,0,0.274,0.398,0.493,0.891,478.1
102,DJ LeMahieu,NYY,2B,57,227,33,58,7,0,3,15,27,46,2,0,0.256,0.335,0.326,0.661,476.1
103,Eddie Rosario,CLE,LF,55,201,19,49,8,1,4,32,14,36,7,1,0.244,0.295,0.353,0.648,472.8
104,Pete Alonso,NYM,1B,44,157,27,40,7,0,9,28,19,41,0,0,0.255,0.343,0.471,0.814,472.4
105,J.P. Crawford,SEA,SS,61,209,26,57,14,0,3,21,20,39,2,2,0.273,0.336,0.383,0.719,471.7
106,Miguel Rojas,MIA,SS,47,171,32,47,14,2,3,16,17,28,4,1,0.275,0.354,0.433,0.787,467.4
106,Jeimer Candelario,DET,3B,57,218,27,58,13,0,4,18,22,63,0,0,0.266,0.336,0.381,0.717,467.4
108,J.T. Realmuto,PHI,C,43,136,22,40,8,1,6,24,23,39,4,2,0.294,0.41,0.5,0.91,466.4
109,Matt Chapman,OAK,3B,61,204,22,42,6,2,5,24,33,78,1,0,0.206,0.31,0.328,0.638,463.4
110,Nick Madrigal,CHW,2B,53,197,30,60,9,4,2,20,11,17,1,2,0.305,0.349,0.421,0.77,463
111,Franmil Reyes,CLE,RF,40,144,21,37,9,2,11,29,12,48,1,0,0.257,0.316,0.576,0.892,462.7
112,Adam Duvall,MIA,LF,52,184,20,38,6,1,9,35,11,63,3,0,0.207,0.254,0.397,0.651,459.5
113,Josh Donaldson,MIN,3B,47,163,25,41,11,0,7,22,26,30,0,0,0.252,0.351,0.448,0.799,457
114,Mike Trout,LAA,CF,36,117,23,39,8,1,8,18,27,41,2,0,0.333,0.466,0.624,1.09,454.6
115,Kyle Schwarber,WSH,LF,49,183,20,40,8,0,9,25,20,61,1,1,0.219,0.309,0.41,0.719,454.5
116,Hunter Renfroe,BOS,RF,51,179,29,46,12,0,7,25,12,47,0,1,0.257,0.301,0.441,0.742,453.3
117,Jurickson Profar,SD,2B,56,184,29,41,6,1,1,17,28,36,9,1,0.223,0.329,0.283,0.612,452.3
118,Maikel Franco,BAL,3B,57,221,19,46,14,0,7,31,13,35,0,0,0.208,0.251,0.367,0.618,451.3
119,Will Smith,LAD,C,49,157,29,42,10,1,5,19,21,33,1,0,0.268,0.362,0.439,0.801,447.3
120,Yandy Díaz,TB,3B,56,190,22,49,7,0,1,21,40,32,0,0,0.258,0.391,0.311,0.702,446.9
121,Willy Adames,MIL,SS,57,188,22,40,8,1,8,26,18,68,1,2,0.213,0.282,0.394,0.676,443.4
122,Yasmani Grandal,CHW,C,42,114,28,18,2,0,9,21,46,43,0,0,0.158,0.395,0.412,0.807,442.1
123,Francisco Lindor,NYM,SS,52,195,30,42,7,1,5,13,24,37,4,1,0.215,0.305,0.338,0.643,441.5
124,Gleyber Torres,NYY,SS,52,189,19,52,8,0,3,23,23,38,4,2,0.275,0.352,0.365,0.717,441.3
125,Amed Rosario,CLE,SS,51,176,28,45,5,4,4,18,15,37,5,0,0.256,0.318,0.398,0.716,440.6
126,Adam Eaton,CHW,RF,49,158,28,32,7,2,5,27,17,48,2,0,0.203,0.304,0.367,0.671,439.1
127,Ty France,SEA,3B,52,188,25,46,14,0,3,21,18,40,0,0,0.245,0.335,0.367,0.702,438.5
128,Gio Urshela,NYY,3B,53,198,17,53,11,0,6,26,13,53,1,0,0.268,0.311,0.414,0.725,436.4
129,Luis Urías,MIL,2B,55,164,18,37,9,0,7,25,25,47,2,0,0.226,0.328,0.409,0.737,436.1
130,Sean Murphy,OAK,C,50,164,16,36,13,0,6,32,16,49,0,0,0.22,0.314,0.409,0.723,433.2
131,Mike Yastrzemski,SF,RF,45,158,25,35,15,2,6,15,23,45,1,0,0.222,0.332,0.456,0.788,432.5
132,Trent Grisham,SD,RF,36,136,23,41,7,2,6,14,18,40,7,1,0.301,0.383,0.515,0.898,428.6
133,Jonathan India,CIN,3B,48,144,19,37,4,2,5,24,19,35,3,1,0.257,0.368,0.417,0.785,423.8
134,Michael A. Taylor,KC,CF,54,176,25,44,5,1,5,22,12,66,4,2,0.25,0.304,0.375,0.679,421
