Rank,Name,Team,Pos,GMS,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,PTS
225,Aledmys Díaz,HOU,2B,34,115,14,32,9,0,3,18,5,19,0,1,0.278,0.341,0.435,0.776,290.8
226,Yonathan Daza,COL,LF,51,140,11,46,5,1,1,13,10,30,2,0,0.329,0.371,0.4,0.771,290.7
227,Darin Ruf,SF,1B,43,82,17,20,4,0,6,15,16,29,1,0,0.244,0.37,0.512,0.882,289.9
228,Anthony Santander,BAL,LF,33,123,14,34,10,0,4,16,5,31,0,0,0.276,0.308,0.455,0.763,289.8
229,Elvis Andrus,OAK,SS,59,189,14,40,9,1,0,8,13,35,4,2,0.212,0.26,0.27,0.53,288.8
230,Mike Tauchman,SF,CF,46,121,18,23,4,0,3,12,20,40,3,3,0.19,0.31,0.298,0.608,288.6
231,Billy McKinney,NYM,RF,51,127,14,27,6,2,5,12,11,34,2,0,0.213,0.273,0.409,0.682,287.8
232,Jason Heyward,CHC,RF,42,135,15,23,6,1,4,13,14,36,3,0,0.17,0.253,0.319,0.572,285.5
233,Kevin Newman,PIT,SS,54,198,19,41,5,1,1,10,10,13,1,0,0.207,0.244,0.258,0.502,284.8
234,Tony Kemp,OAK,2B,43,98,14,27,6,2,2,11,17,22,3,1,0.276,0.378,0.439,0.817,284.3
235,Taylor Ward,LAA,OF,32,98,16,22,3,0,6,18,8,30,1,1,0.224,0.3,0.439,0.739,282.2
236,Christian Yelich,MIL,RF,28,89,21,21,1,1,3,9,19,35,4,1,0.236,0.376,0.371,0.747,281.7
237,Mitch Moreland,OAK,1B,40,118,14,29,4,0,5,17,10,30,0,0,0.246,0.305,0.407,0.712,281.3
238,Martín Maldonado,HOU,C,46,151,15,25,3,1,4,16,15,53,0,0,0.166,0.25,0.278,0.528,281
239,Cavan Biggio,TOR,2B,39,127,14,26,3,1,3,11,20,47,2,1,0.205,0.315,0.315,0.63,278.3
240,Mauricio Dubón,SF,SS,54,129,13,30,6,0,4,17,6,30,2,1,0.233,0.268,0.372,0.64,278.1
241,Taylor Trammell,SEA,CF,34,108,17,20,6,0,5,14,12,48,2,2,0.185,0.273,0.38,0.653,277.4
242,Ketel Marte,ARI,2B,24,93,15,34,8,0,4,14,6,15,0,0,0.366,0.4,0.581,0.981,277
243,Ryan Zimmerman,WSH,1B,37,101,13,29,7,0,6,17,4,30,0,0,0.287,0.314,0.535,0.849,275.1
244,Steven Duggar,SF,CF,34,85,16,26,6,1,4,14,8,32,2,0,0.306,0.366,0.541,0.907,274.2
245,Brian Anderson,MIA,3B,35,124,13,31,6,0,3,11,12,36,3,0,0.25,0.316,0.371,0.687,272.1
246,Daniel Vogelbach,MIL,1B,53,122,15,26,4,0,4,10,21,31,0,0,0.213,0.329,0.344,0.673,272
247,William Contreras,ATL,C,27,87,14,21,1,1,6,19,9,32,0,0,0.241,0.323,0.483,0.806,270.3
248,Mike Brosseau,TB,2B,44,116,17,20,7,0,4,15,11,46,1,0,0.172,0.256,0.336,0.592,268.9
249,David Dahl,TEX,LF,42,144,16,30,7,0,4,12,6,41,1,1,0.208,0.242,0.34,0.582,267.2
250,Joey Votto,CIN,1B,30,108,9,24,6,0,5,17,13,25,0,0,0.222,0.311,0.417,0.728,265.3
251,Didi Gregorius,PHI,SS,32,118,10,27,4,0,4,22,5,26,1,0,0.229,0.266,0.364,0.63,265
252,Chas McCormick,HOU,RF,35,76,17,15,3,0,5,19,9,27,2,0,0.197,0.286,0.434,0.72,264.9
253,Lorenzo Cain,MIL,CF,31,103,17,23,4,0,3,9,14,24,4,1,0.223,0.322,0.35,0.672,262.9
254,Eric Haase,DET,C,20,72,15,20,3,1,8,13,5,27,0,0,0.278,0.333,0.681,1.014,258.5
255,Michael Conforto,NYM,RF,33,113,10,26,6,0,2,13,18,27,0,0,0.23,0.356,0.336,0.692,257.5
256,Jose Rojas,LAA,3B,43,121,18,23,12,0,3,8,8,35,2,0,0.19,0.246,0.364,0.61,256.6
257,Phillip Evans,PIT,3B,33,115,15,25,3,0,4,8,14,30,1,0,0.217,0.323,0.348,0.671,256
258,Harold Ramirez,CLE,LF,31,97,13,27,7,1,3,13,4,12,2,0,0.278,0.327,0.464,0.791,255.1
259,Guillermo Heredia,ATL,CF,31,101,17,26,11,0,2,11,10,33,0,0,0.257,0.33,0.426,0.756,254.9
260,Alex Kirilloff,MIN,RF,29,106,13,26,6,0,4,18,6,30,0,1,0.245,0.283,0.415,0.698,254.6
261,Kyle Garlick,MIN,LF,36,99,17,23,8,0,5,10,6,32,1,0,0.232,0.28,0.465,0.745,254.4
262,Matt Duffy,CHC,3B,38,90,16,25,4,0,1,12,11,18,3,1,0.278,0.377,0.356,0.733,252.2
263,Mike Moustakas,CIN,2B,28,87,15,21,5,0,4,13,12,18,0,0,0.241,0.337,0.437,0.774,249.5
264,Charlie Culberson,TEX,LF,44,124,10,28,6,1,3,12,8,36,2,0,0.226,0.278,0.363,0.641,248
265,Stephen Piscotty,OAK,RF,46,120,11,26,6,0,4,11,11,31,1,0,0.217,0.288,0.367,0.655,247.7
266,Nick Senzel,CIN,CF,36,111,18,29,4,1,1,8,12,16,2,5,0.261,0.331,0.342,0.673,247.6
267,Aaron Hicks,NYY,CF,32,108,13,21,3,0,4,14,14,30,0,0,0.194,0.294,0.333,0.627,246.6
268,Pedro Severino,BAL,C,41,142,12,34,5,0,2,8,15,35,0,0,0.239,0.312,0.317,0.629,246.4
269,Rougned Odor,NYY,2B,35,114,13,21,4,0,5,13,10,32,0,0,0.184,0.268,0.351,0.619,246.1
270,Wilson Ramos,DET,C,35,120,12,24,5,0,6,13,6,29,0,0,0.2,0.238,0.392,0.63,242.9
271,Luis Robert,CHW,CF,25,95,11,30,9,1,1,8,7,28,4,1,0.316,0.359,0.463,0.822,240.2
272,Kevin Kiermaier,TB,CF,42,127,19,26,5,1,1,6,9,43,3,1,0.205,0.263,0.283,0.546,237.8
273,Tyrone Taylor,MIL,RF,36,87,8,19,3,0,6,15,6,22,1,1,0.218,0.306,0.46,0.766,237.1
274,Tom Murphy,SEA,C,38,114,14,20,4,0,6,12,8,46,0,0,0.175,0.228,0.368,0.596,236.8
275,Matt Carpenter,STL,3B,54,96,11,17,5,0,3,13,16,35,1,0,0.177,0.31,0.323,0.633,236.7
276,Ehire Adrianza,ATL,3B,43,92,13,21,4,1,3,17,9,20,0,0,0.228,0.288,0.391,0.679,236.1
277,Christian Arroyo,BOS,3B,32,96,13,28,10,0,1,10,4,27,1,0,0.292,0.346,0.427,0.773,229.6
278,Jeff McNeil,NYM,LF,31,99,13,24,4,0,3,8,12,9,1,0,0.242,0.336,0.374,0.71,228.6
279,Donovan Solano,SF,SS,33,103,13,27,5,0,2,12,7,23,1,0,0.262,0.304,0.369,0.673,227.6
280,Eric Sogard,CHC,2B,55,117,15,28,3,1,1,10,8,22,2,0,0.239,0.283,0.308,0.591,227
281,Jake Marisnick,CHC,CF,28,57,11,16,3,2,4,15,5,19,2,1,0.281,0.359,0.614,0.973,225.7
282,Francisco Mejía,TB,C,31,99,9,25,6,0,3,13,6,19,0,0,0.253,0.318,0.404,0.722,224.3
283,Brett Gardner,NYY,CF,50,129,12,25,5,1,1,5,17,38,1,0,0.194,0.287,0.271,0.558,220.9
284,Stephen Vogt,ARI,C,36,90,8,17,5,1,4,14,12,26,0,0,0.189,0.284,0.4,0.684,218.6
285,Patrick Wisdom,CHC,3B,15,40,11,15,2,0,8,12,4,15,1,0,0.375,0.432,1.025,1.457,218.2
286,Justin Williams,STL,RF,51,119,10,19,0,0,4,11,17,46,0,1,0.16,0.27,0.261,0.531,217.5
287,Trevor Larnach,MIN,RF,26,77,11,20,5,0,3,8,13,27,0,0,0.26,0.394,0.442,0.836,216.2
288,Austin Barnes,LAD,C,32,87,10,20,5,0,2,14,13,25,0,0,0.23,0.337,0.356,0.693,216
289,Jose Trevino,TEX,C,44,134,12,32,3,0,2,11,4,31,0,0,0.239,0.257,0.306,0.563,211.9
290,Kevin Pillar,NYM,CF,35,103,12,25,3,1,2,9,4,23,2,2,0.243,0.284,0.35,0.634,207.9
291,Nick Maton,PHI,SS,39,103,10,26,6,0,2,8,5,36,2,0,0.252,0.3,0.369,0.669,207
292,Edmundo Sosa,STL,SS,36,85,11,23,3,1,1,6,6,19,2,3,0.271,0.374,0.365,0.739,203.2
293,Willians Astudillo,MIN,C,37,114,7,28,4,0,4,12,0,9,0,0,0.246,0.256,0.386,0.642,202.4
294,Zach McKinstry,LAD,2B,23,70,10,17,5,0,3,16,4,18,1,0,0.243,0.289,0.443,0.732,202
295,Nico Hoerner,CHC,SS,21,74,9,25,7,0,0,9,9,12,3,1,0.338,0.405,0.432,0.837,201.3
296,Billy Hamilton,CHW,CF,36,69,13,15,3,2,2,10,3,23,5,0,0.217,0.247,0.406,0.653,199.6
297,Rowdy Tellez,TOR,1B,41,117,10,25,4,1,3,5,8,26,0,0,0.214,0.276,0.342,0.618,199.5
298,Danny Jansen,TOR,C,42,108,13,17,4,0,3,8,12,31,0,0,0.157,0.248,0.278,0.526,198.6
299,Kyle Higashioka,NYY,C,29,76,10,14,4,0,5,9,10,24,0,0,0.184,0.279,0.434,0.713,192.5
300,Harrison Bader,STL,CF,22,73,8,16,2,0,4,9,9,13,3,1,0.219,0.301,0.411,0.712,192.1
301,Sam Haggerty,SEA,2B,35,86,15,16,3,0,2,5,6,28,5,1,0.186,0.247,0.291,0.538,191.5
302,Andrew Stevenson,WSH,CF,48,90,14,21,2,0,2,10,6,31,0,1,0.233,0.293,0.322,0.615,190.8
303,Brock Holt,TEX,2B,29,82,7,20,5,0,1,10,11,20,2,0,0.244,0.34,0.341,0.681,189.4
304,Brandon Nimmo,NYM,CF,21,66,7,21,5,0,1,8,12,22,2,1,0.318,0.43,0.439,0.869,188.4
305,Hanser Alberto,KC,2B,42,98,11,27,9,2,0,8,0,12,0,1,0.276,0.28,0.408,0.688,186.2
306,Jake Lamb,CHW,3B,23,58,13,15,2,0,4,7,10,18,0,0,0.259,0.377,0.5,0.877,186.1
307,Nomar Mazara,DET,RF,31,104,8,19,3,1,2,12,9,30,0,0,0.183,0.248,0.288,0.536,184.6
308,Tim Locastro,ARI,LF,41,100,10,19,2,0,1,4,6,22,5,3,0.19,0.277,0.24,0.517,184
309,José Peraza,NYM,SS,29,81,11,18,4,0,3,10,5,10,0,0,0.222,0.276,0.383,0.659,181.2
310,Zack Collins,CHW,C,28,78,11,15,5,0,2,9,12,29,0,0,0.192,0.3,0.333,0.633,180.7
311,Chad Pinder,OAK,LF,23,75,12,19,7,0,3,7,4,24,0,0,0.253,0.291,0.467,0.758,179.9
312,Ka'ai Tom,PIT,CF,34,75,8,12,1,0,2,11,12,23,1,0,0.16,0.305,0.253,0.558,178.1
313,Christian Walker,ARI,1B,26,97,11,20,3,1,2,9,6,22,0,0,0.206,0.25,0.32,0.57,177.7
314,Juan Lagares,LAA,CF,31,94,13,21,6,1,0,11,3,21,0,0,0.223,0.247,0.309,0.556,176.1
315,Rio Ruiz,BAL,3B,32,90,10,15,3,0,3,6,9,29,2,0,0.167,0.25,0.3,0.55,176
316,Tomás Nido,NYM,C,25,69,9,17,2,1,3,11,3,17,0,0,0.246,0.297,0.435,0.732,172.3
317,Ji-Man Choi,TB,1B,15,46,8,14,4,0,2,11,11,19,0,0,0.304,0.448,0.522,0.97,172.1
318,Harold Castro,DET,3B,33,98,6,30,1,0,0,11,7,20,0,0,0.306,0.352,0.316,0.668,171.7
319,Max Stassi,LAA,C,17,48,12,16,2,0,4,8,5,16,0,0,0.333,0.396,0.625,1.021,171.4
320,José Marmolejos,SEA,1B,31,79,8,11,2,0,3,9,14,32,0,0,0.139,0.266,0.278,0.544,165.1
321,Miguel Andújar,NYY,3B,25,89,11,22,1,0,4,6,1,22,0,0,0.247,0.256,0.393,0.649,164.2
322,Jake Bauers,CLE,LF,43,100,7,19,3,0,2,6,12,27,0,1,0.19,0.277,0.28,0.557,163.4
323,Rob Refsnyder,MIN,LF,17,53,10,18,4,0,2,10,4,15,0,0,0.34,0.379,0.528,0.907,163
324,Joe Panik,TOR,2B,30,84,6,22,5,0,2,11,2,12,0,0,0.262,0.276,0.393,0.669,162.7
325,Franchy Cordero,BOS,CF,34,95,9,17,6,0,1,9,6,37,1,0,0.179,0.228,0.274,0.502,162.3
325,JaCoby Jones,DET,CF,36,100,9,17,2,0,2,9,5,42,2,2,0.17,0.21,0.25,0.46,162.3
327,Jake Fraley,SEA,CF,13,30,7,7,2,0,2,9,16,10,2,0,0.233,0.511,0.5,1.011,161.9
328,Andrés Giménez,CLE,SS,29,78,10,14,4,0,2,5,3,25,4,0,0.179,0.226,0.308,0.534,160.5
329,Keston Hiura,MIL,2B,37,108,9,14,5,1,1,5,8,48,1,0,0.13,0.217,0.222,0.439,160.3
330,Pablo Sandoval,ATL,3B,43,52,9,12,0,0,4,10,7,18,0,0,0.231,0.333,0.462,0.795,159.8
331,Jason Castro,HOU,C,20,48,10,13,4,0,2,8,9,17,0,0,0.271,0.397,0.479,0.876,159
332,Isan Díaz,MIA,2B,30,84,4,12,2,0,2,10,16,27,0,0,0.143,0.282,0.238,0.52,158.8
333,Yu Chang,CLE,SS,37,84,10,15,6,0,1,10,4,26,1,0,0.179,0.213,0.286,0.499,157
334,Magneuris Sierra,MIA,CF,47,84,12,20,2,0,0,0,9,19,4,0,0.238,0.312,0.262,0.574,155.4
335,Travis d'Arnaud,ATL,C,23,82,5,18,4,0,2,11,4,20,0,0,0.22,0.253,0.341,0.594,150.5
336,Yoshitomo Tsutsugo,LAD,LF,38,103,7,16,4,0,0,7,14,39,0,0,0.155,0.256,0.194,0.45,148.9
337,Jorge Alfaro,MIA,C,22,71,4,17,2,0,2,8,3,24,3,0,0.239,0.289,0.352,0.641,148.8
338,Jonathan Davis,TOR,CF,39,65,13,9,1,0,1,4,9,20,3,1,0.138,0.269,0.2,0.469,148.6
339,Wilmer Difo,PIT,SS,44,82,7,20,3,2,1,6,5,25,0,0,0.244,0.287,0.366,0.653,148.4
340,Evan White,SEA,1B,30,97,8,14,3,0,2,9,6,31,0,0,0.144,0.202,0.237,0.439,147.1
341,Roberto Pérez,CLE,C,19,61,6,8,1,0,3,9,11,28,1,0,0.131,0.274,0.295,0.569,146.7
342,Josh VanMeter,ARI,LF,37,69,10,11,2,1,1,7,11,23,0,0,0.159,0.28,0.261,0.541,146.5
343,Manny Piña,MIL,C,25,56,6,9,1,0,4,8,10,11,0,0,0.161,0.294,0.393,0.687,146.2
344,Austin Hedges,CLE,C,31,93,8,15,1,0,3,7,7,37,0,0,0.161,0.22,0.269,0.489,146.1
345,Yadiel Hernandez,WSH,LF,41,68,8,18,1,0,2,4,5,19,2,0,0.265,0.32,0.368,0.688,144.6
346,Alex Blandino,CIN,2B,43,70,9,14,4,0,0,5,8,28,1,0,0.2,0.317,0.257,0.574,142.3
347,Ramón Urias,BAL,2B,25,57,8,14,2,0,2,8,5,18,0,1,0.246,0.328,0.386,0.714,140.6
348,Michael Perez,PIT,C,23,67,7,10,2,0,4,8,5,25,0,0,0.149,0.219,0.358,0.577,140.4
349,Luis Torrens,SEA,C,29,90,7,16,5,0,2,6,4,25,0,0,0.178,0.219,0.3,0.519,139.4
350,Kurt Suzuki,LAA,C,32,90,6,18,3,0,1,5,6,20,0,0,0.2,0.277,0.267,0.544,138.7
351,Cody Bellinger,LAD,RF,13,50,9,10,1,1,1,9,8,18,1,0,0.2,0.31,0.32,0.63,138.3
352,Pat Valaika,BAL,3B,33,82,5,15,4,0,1,10,5,25,1,0,0.183,0.227,0.268,0.495,138
353,Andy Young,ARI,2B,26,34,7,7,1,0,4,9,4,18,0,0,0.206,0.357,0.588,0.945,137.9
354,Phil Gosselin,LAA,2B,24,65,5,19,5,0,1,8,3,20,0,1,0.292,0.333,0.415,0.748,137
355,J.D. Davis,NYM,3B,14,41,5,16,3,0,2,7,4,15,0,0,0.39,0.479,0.61,1.089,136.5
356,Jarred Kelenic,SEA,CF,23,83,7,8,2,0,2,6,8,26,3,0,0.096,0.185,0.193,0.378,136.4
357,Tommy La Stella,SF,2B,25,68,8,16,3,1,1,5,6,10,0,0,0.235,0.297,0.353,0.65,133.1
358,LaMonte Wade Jr.,SF,CF,15,42,6,13,1,0,3,5,6,14,1,0,0.31,0.408,0.548,0.956,132.7
359,Austin Nola,SD,C,18,46,4,10,2,0,1,11,8,3,0,0,0.217,0.373,0.326,0.699,132.3
360,Andrew Knizner,STL,C,31,79,11,16,4,0,0,2,8,19,0,0,0.203,0.292,0.253,0.545,132.2
361,Roman Quinn,PHI,CF,28,52,8,9,2,2,0,2,6,19,4,3,0.173,0.306,0.288,0.594,131.6
362,Josh Reddick,ARI,RF,18,60,5,19,8,0,0,8,2,12,0,0,0.317,0.333,0.45,0.783,131
362,Elias Díaz,COL,C,31,92,10,13,2,0,1,6,8,24,0,0,0.141,0.208,0.196,0.404,131
364,Santiago Espinal,TOR,SS,32,70,7,16,4,1,0,6,3,13,2,0,0.229,0.26,0.314,0.574,130.4
365,Jonah Heim,TEX,C,27,72,7,12,4,0,2,5,6,17,1,1,0.167,0.228,0.306,0.534,129.9
366,Victor Reyes,DET,LF,27,83,9,13,4,1,1,4,3,25,2,0,0.157,0.186,0.265,0.451,129.8
367,Jake Cave,MIN,RF,31,84,8,14,5,0,1,2,6,35,1,0,0.167,0.239,0.262,0.501,128.6
368,Jorge Mateo,SD,SS,41,72,7,15,3,0,1,5,1,20,2,0,0.208,0.25,0.292,0.542,126.9
369,Alejandro Kirk,TOR,C,17,40,7,9,1,0,3,8,5,6,0,0,0.225,0.326,0.475,0.801,125.4
370,Donovan Walton,SEA,2B,19,59,5,13,2,1,2,7,3,13,1,0,0.22,0.258,0.39,0.648,124.5
371,Mike Ford,NYY,1B,22,60,6,8,0,0,3,5,11,23,0,0,0.133,0.278,0.283,0.561,123.7
372,Ben Gamel,PIT,RF,33,75,7,14,6,1,0,3,8,23,0,1,0.187,0.259,0.293,0.552,122.9
372,Andrew Knapp,PHI,C,34,81,7,13,1,0,1,9,6,31,0,0,0.16,0.216,0.21,0.426,122.9
374,Danny Mendick,CHW,SS,26,55,4,11,0,0,2,10,8,17,0,0,0.2,0.302,0.309,0.611,122.8
375,Kole Calhoun,ARI,RF,13,48,6,14,3,0,2,5,3,13,1,0,0.292,0.333,0.479,0.812,120.7
376,Sandy León,MIA,C,31,90,6,17,2,0,1,4,5,26,0,0,0.189,0.242,0.244,0.486,120.2
377,Ryan Jeffers,MIN,C,16,54,6,12,2,1,2,7,3,22,0,0,0.222,0.263,0.407,0.67,118.7
378,Khris Davis,TEX,LF,22,51,8,8,1,1,2,5,8,16,0,0,0.157,0.262,0.333,0.595,118.1
379,Ronald Torreyes,PHI,2B,18,52,5,15,3,0,1,9,2,11,0,0,0.288,0.315,0.404,0.719,116.5
380,Alex Avila,WSH,C,17,51,2,9,5,1,0,6,12,21,0,0,0.176,0.344,0.314,0.658,114.4
381,Jarrod Dyson,KC,CF,32,44,7,12,1,2,0,1,4,8,4,1,0.273,0.333,0.386,0.719,112.9
382,Ryan O'Hearn,KC,1B,20,53,6,10,1,0,3,6,4,20,0,1,0.189,0.246,0.377,0.623,112.2
383,Taylor Walls,TB,SS,16,45,6,11,4,0,0,4,9,14,1,0,0.244,0.37,0.333,0.703,111.2
384,Kevin Plawecki,BOS,C,22,57,6,15,3,0,1,3,5,11,0,0,0.263,0.333,0.368,0.701,110.7
385,Matt Joyce,PHI,RF,32,47,5,5,1,0,2,6,10,13,0,0,0.106,0.271,0.255,0.526,106
386,Kelvin Gutierrez,KC,3B,21,77,7,18,3,1,0,3,1,14,0,0,0.234,0.244,0.299,0.543,104.9
387,Curt Casali,SF,C,26,67,5,7,1,0,0,6,11,24,0,0,0.104,0.25,0.119,0.369,100
388,Ke'Bryan Hayes,PIT,3B,7,27,6,9,1,1,2,5,3,5,0,0,0.333,0.4,0.667,1.067,99.7
389,Lewis Brinson,MIA,CF,26,63,3,14,3,0,2,5,1,19,0,0,0.222,0.234,0.365,0.599,99.1
390,Chris Owings,COL,2B,7,15,6,8,3,3,0,3,2,2,2,0,0.533,0.588,1.133,1.721,98.7
391,Jacob Nottingham,SEA,C,15,40,5,6,1,0,3,6,2,20,0,0,0.15,0.222,0.4,0.622,97
392,Sheldon Neuse,LAD,3B,28,58,6,10,1,0,3,4,1,22,0,1,0.172,0.186,0.345,0.531,96.2
393,Will Craig,PIT,1B,18,60,5,13,2,0,1,3,5,22,0,0,0.217,0.277,0.3,0.577,95.5
394,Daniel Robertson,MIL,3B,30,48,7,7,2,0,2,2,6,17,0,0,0.146,0.255,0.312,0.567,95.4
395,Ryan McKenna,BAL,CF,33,41,8,8,1,1,0,3,6,15,1,0,0.195,0.298,0.268,0.566,93.1
396,Aramis Garcia,OAK,C,22,56,5,11,1,0,2,4,1,18,0,0,0.196,0.237,0.321,0.558,93
397,Brendan Rodgers,COL,2B,15,46,1,11,1,0,1,8,2,10,0,0,0.239,0.308,0.326,0.634,91.2
398,Ender Inciarte,ATL,CF,27,40,6,10,1,0,0,5,4,10,1,0,0.25,0.311,0.275,0.586,87.7
398,Brian O'Grady,SD,1B,17,32,6,5,3,0,1,5,6,12,0,0,0.156,0.282,0.344,0.626,87.7
400,Shogo Akiyama,CIN,CF,24,46,5,10,1,0,0,5,4,10,1,1,0.217,0.294,0.239,0.533,87.5
401,Chad Wallach,MIA,C,21,59,2,12,2,1,0,6,3,31,0,0,0.203,0.246,0.271,0.517,87.4
402,Alan Trejo,COL,SS,26,41,7,10,2,0,1,3,3,12,0,0,0.244,0.289,0.366,0.655,86.9
403,Tyler Wade,NYY,SS,37,38,8,10,0,1,0,2,2,12,2,2,0.263,0.3,0.316,0.616,86.6
403,Eli White,TEX,SS,23,58,3,8,1,1,0,4,6,22,2,2,0.138,0.219,0.19,0.409,86.6
405,Wyatt Mathisen,ARI,3B,23,42,3,5,0,0,1,8,5,21,0,0,0.119,0.255,0.19,0.445,85.6
406,Austin Dean,STL,LF,18,27,4,6,2,0,1,7,5,9,0,0,0.222,0.324,0.407,0.731,85.3
407,DJ Peters,LAD,CF,18,26,5,5,2,0,1,4,8,14,0,0,0.192,0.382,0.385,0.767,84
408,Adalberto Mondesi,KC,SS,7,25,2,9,3,0,2,5,0,10,1,1,0.36,0.36,0.72,1.08,83.9
409,Connor Joe,COL,OF,19,43,2,10,2,0,0,4,9,12,0,0,0.233,0.365,0.279,0.644,83.4
410,Chance Sisco,BAL,C,23,65,4,10,2,0,0,3,6,18,0,0,0.154,0.247,0.185,0.432,83.3
411,Stevie Wilkerson,BAL,CF,20,50,4,10,3,0,0,2,3,18,2,0,0.2,0.259,0.26,0.519,82.8
412,Cristian Pache,ATL,CF,22,63,6,7,3,0,1,4,2,25,0,0,0.111,0.152,0.206,0.358,81.2
413,Jace Peterson,MIL,2B,11,25,4,5,0,0,2,4,5,9,1,0,0.2,0.333,0.44,0.773,80.8
414,Tucupita Marcano,SD,2B,25,44,7,8,1,0,0,3,6,9,0,1,0.182,0.28,0.205,0.485,77.9
415,Jason Vosler,SF,3B,16,30,6,5,1,0,2,3,2,7,1,0,0.167,0.219,0.4,0.619,77.7
416,Michael Chavis,BOS,2B,11,33,7,9,4,0,1,2,0,13,0,0,0.273,0.273,0.485,0.758,77.4
417,Sam Hilliard,COL,RF,20,37,6,4,0,1,2,4,2,19,0,0,0.108,0.154,0.324,0.478,75.2
418,Luke Voit,NYY,1B,12,44,4,8,0,0,1,3,5,15,0,0,0.182,0.28,0.25,0.53,74.3
419,Danny Santana,BOS,CF,13,40,2,5,0,1,2,3,3,12,1,0,0.125,0.205,0.325,0.53,73.9
420,Ildemaro Vargas,ARI,2B,20,44,3,6,2,0,0,6,4,12,1,0,0.136,0.208,0.182,0.39,72.6
421,Josh Palacios,TOR,CF,10,28,7,7,0,0,0,4,3,7,0,0,0.25,0.353,0.25,0.603,72.4
422,Jose Devers,MIA,SS,18,37,5,8,3,0,0,4,2,11,0,0,0.216,0.268,0.297,0.565,72
423,Kyle Isbel,KC,CF,12,34,5,9,0,1,0,3,2,15,1,0,0.265,0.306,0.324,0.63,71.5
424,Max Schrock,CIN,2B,12,30,3,8,3,1,1,3,1,8,0,0,0.267,0.29,0.533,0.823,71.1
425,Luke Raley,LAD,RF,23,44,3,8,1,0,1,2,2,16,0,0,0.182,0.28,0.273,0.553,70.6
426,Brandon Drury,NYM,3B,14,32,2,7,0,0,2,5,2,10,0,0,0.219,0.265,0.406,0.671,68.9
427,Renato Núñez,DET,1B,7,27,5,4,2,0,2,3,1,8,0,0,0.148,0.207,0.444,0.651,68.5
428,Bradley Zimmer,CLE,CF,10,26,2,6,0,0,0,4,2,13,3,0,0.231,0.333,0.231,0.564,68.4
429,Nick Gordon,MIN,SS,6,20,2,8,0,0,1,2,1,5,3,0,0.4,0.429,0.55,0.979,67.4
430,Jordy Mercer,WSH,SS,22,55,4,13,4,0,0,0,1,14,0,0,0.236,0.25,0.309,0.559,66.8
431,Daulton Varsho,ARI,C,19,41,6,7,3,0,0,2,3,12,0,0,0.171,0.227,0.244,0.471,65.2
432,Jake Rogers,DET,C,13,38,2,8,1,0,1,3,2,16,1,0,0.211,0.25,0.316,0.566,64.9
433,Abraham Almonte,ATL,CF,8,15,4,5,2,0,1,2,5,2,0,0,0.333,0.5,0.667,1.167,64.8
434,Edwin Ríos,LAD,3B,25,51,4,4,0,0,1,1,7,18,0,0,0.078,0.217,0.137,0.354,64.3
435,Grayson Greiner,DET,C,14,38,1,9,1,0,1,5,1,16,0,0,0.237,0.256,0.342,0.598,62.7
436,Lane Thomas,STL,CF,25,41,2,4,1,0,0,1,8,17,2,1,0.098,0.245,0.122,0.367,60.9
437,Jay Bruce,NYY,LF,10,34,3,4,1,0,1,3,5,13,0,0,0.118,0.231,0.235,0.466,59.1
437,George Springer,TOR,CF,4,15,3,3,0,0,2,3,2,4,1,0,0.2,0.294,0.6,0.894,59.1
439,Dustin Fowler,PIT,CF,18,41,3,7,1,0,0,2,3,20,1,0,0.171,0.239,0.195,0.434,58.6
440,Pablo Reyes,MIL,LF,19,37,4,10,2,0,0,1,0,8,1,0,0.27,0.27,0.324,0.594,58.3
441,Cam Gallagher,KC,C,20,44,3,10,2,0,0,1,3,11,0,0,0.227,0.271,0.273,0.544,58.1
442,Reese McGuire,TOR,C,17,41,3,9,1,0,0,1,3,8,0,0,0.22,0.289,0.244,0.533,55.1
443,Todd Frazier,PIT,3B,13,35,3,3,1,0,0,4,3,6,0,0,0.086,0.2,0.114,0.314,50.6
444,Bobby Bradley,CLE,1B,3,10,4,4,2,0,1,3,0,1,0,0,0.4,0.4,0.9,1.3,50.3
445,Aristides Aquino,CIN,RF,10,13,2,3,1,0,2,3,1,5,0,0,0.231,0.286,0.769,1.055,49.9
445,Benjamin Rortvedt,MIN,C,15,34,2,5,0,0,1,3,2,15,0,0,0.147,0.216,0.235,0.451,49.9
447,Rafael Ortega,CHC,LF,11,29,2,4,0,0,1,2,3,7,1,1,0.138,0.219,0.241,0.46,49.4
448,Sergio Alcántara,CHC,SS,10,20,2,6,2,2,0,1,0,7,0,0,0.3,0.318,0.6,0.918,48.9
449,Mickey Moniak,PHI,CF,11,25,3,3,0,0,1,3,3,12,0,0,0.12,0.214,0.24,0.454,47.1
449,Taylor Jones,HOU,1B,11,34,3,6,1,0,0,3,2,11,0,0,0.176,0.216,0.206,0.422,47.1
451,Johneshwy Fargas,NYM,CF,7,21,1,6,3,1,0,3,0,7,0,0,0.286,0.286,0.524,0.81,46.7
452,Leody Taveras,TEX,CF,15,46,2,4,0,0,0,1,3,23,2,0,0.087,0.16,0.087,0.247,45.9
