P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",58391-79280:Jesus Luzardo,58391-79280,P,Jesus,Jesus Luzardo,Luzardo,21.666666666666668,6,8700,TOR@OAK,OAK,TOR,IL,Finger,,,,P
"","","","","","","","","","",58391-12936:Kyle Gibson,58391-12936,P,Kyle,Kyle Gibson,Gibson,34,7,8600,TEX@MIN,TEX,MIN,,,,,,P
"","","","","","","","","","",58391-38246:Tyler Anderson,58391-38246,P,Tyler,Tyler Anderson,Anderson,29.5,6,8600,PIT@SD,PIT,SD,,,,,,P
"","","","","","","","","","",58391-53067:Chris Bassitt,58391-53067,P,Chris,Chris Bassitt,Bassitt,31.666666666666668,6,8600,TOR@OAK,OAK,TOR,,,,Yes,,P
"","","","","","","","","","",58391-70559:Mike Clevinger,58391-70559,P,Mike,Mike Clevinger,Clevinger,29.625,8,8500,PIT@SD,SD,PIT,IL,Elbow,,,,P
"","","","","","","","","","",58391-5522:Zack Greinke,58391-5522,P,Zack,Zack Greinke,Greinke,27.428571428571427,7,8400,HOU@NYY,HOU,NYY,,,,,,P
"","","","","","","","","","",58391-63136:Matthew Boyd,58391-63136,P,Matthew,Matthew Boyd,Boyd,30,6,8400,DET@BOS,DET,BOS,DTD,Knee,,,,P
"","","","","","","","","","",58391-79951:Nick Pivetta,58391-79951,P,Nick,Nick Pivetta,Pivetta,31,6,8300,DET@BOS,BOS,DET,,,,,,P
"","","","","","","","","","",58391-52165:Sean Manaea,58391-52165,P,Sean,Sean Manaea,Manaea,31.833333333333332,6,8300,TOR@OAK,OAK,TOR,,,,,,P
"","","","","","","","","","",58391-12864:Michael Pineda,58391-12864,P,Michael,Michael Pineda,Pineda,32.4,5,8100,TEX@MIN,MIN,TEX,DTD,Wrist,,,,P
