Rank,Name,Team,POS,W,L,ERA,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,AVG,WHIP,PTS
506,Oliver Drake,TB,RP,0,2,5.73,11,0,2,11,7,8,7,2,6,7,0.179,1.18,33
506,Branden Kline,BAL,RP,0,0,1.8,3,0,0,5,2,1,1,0,3,7,0.118,1,33
508,Hunter Harvey,BAL,RP,0,2,4.15,10,0,0,8.2,8,6,4,2,2,6,0.235,1.15,32
508,Andrew Suárez,SF,RP,0,0,3.72,6,0,0,9.2,9,4,4,1,6,5,0.25,1.55,32
508,Nivaldo Rodriguez,HOU,SP,0,1,6.23,5,0,0,8.2,15,7,6,3,6,8,0.375,2.42,32
511,Deolis Guerra,PHI,RP,1,3,8.59,9,0,0,7.1,10,9,7,3,2,8,0.303,1.64,31
511,Franklyn Kilome,NYM,SP,0,1,11.12,4,0,1,11.1,14,14,14,5,9,13,0.298,2.03,31
511,Jonathon Feyereisen,MIL,RP,0,0,5.79,6,0,0,9.1,4,6,6,3,5,7,0.138,0.96,31
514,Sam Freeman,WSH,RP,0,0,1.8,7,0,0,5,2,1,1,0,7,6,0.111,1.8,30
514,Paolo Espino,WSH,RP,0,0,4.5,2,1,0,6,8,3,3,1,2,7,0.32,1.67,30
514,Ben Heller,NYY,RP,0,0,3,6,0,0,6,5,2,2,2,2,6,0.217,1.17,30
514,Patrick Murphy,TOR,SP,0,0,1.5,4,0,0,6,6,1,1,0,2,5,0.261,1.33,30
514,Brandon Leibrandt,MIA,SP,0,0,2,5,0,0,9,3,2,2,0,7,3,0.103,1.11,30
519,Carl Edwards Jr.,SEA,RP,0,0,1.93,5,0,1,4.2,2,1,1,0,1,6,0.125,0.64,29
519,Taylor Guilbeau,SEA,RP,0,0,1.17,8,0,0,7.2,8,1,1,0,6,3,0.267,1.83,29
521,Pat Venditte,MIA,RP,0,0,0,3,0,0,4.1,1,0,0,0,0,5,0.077,0.23,28
521,Marcus Walden,BOS,RP,0,2,9.45,15,0,1,13.1,23,18,14,5,9,10,0.371,2.4,28
521,Zack Burdi,CHW,RP,0,1,11.05,8,0,0,7.1,11,11,9,4,3,11,0.324,1.91,28
521,Brandon Bailey,HOU,SP,0,0,2.46,5,0,0,7.1,6,2,2,1,3,4,0.231,1.23,28
525,Drew Smith,NYM,RP,0,1,6.43,8,0,0,7,6,6,5,2,2,7,0.214,1.14,27
525,Andrew Kittredge,TB,RP,0,0,2.25,8,1,1,8,8,2,2,0,2,3,0.276,1.25,27
525,Austin Adams,SD,RP,0,0,4.5,3,0,0,4,3,2,2,1,2,7,0.2,1.25,27
525,Nick Mears,PIT,RP,0,0,5.4,4,0,0,5,4,3,3,1,7,7,0.222,2.2,27
529,Edinson Vólquez,TEX,SP,2,1,6.35,7,0,0,5.2,6,4,4,0,2,3,0.261,1.41,26
529,Brian Moran,MIA,RP,1,0,9.64,8,0,0,4.2,6,5,5,1,6,7,0.3,2.57,26
529,Sean Doolittle,WSH,RP,0,2,5.87,11,0,0,7.2,9,6,5,3,4,6,0.29,1.7,26
529,Trevor Gott,SF,RP,1,2,10.03,15,0,4,11.2,13,13,13,7,8,8,0.271,1.8,26
529,Kodi Whitley,STL,RP,0,0,1.93,4,0,0,4.2,2,1,1,1,1,5,0.125,0.64,26
534,Rex Brothers,CHC,RP,0,0,8.1,3,0,0,3.1,2,3,3,2,3,8,0.167,1.5,25
534,Andrew Triggs,BOS,SP,0,2,7.56,5,2,0,8.1,8,7,7,3,6,7,0.242,1.68,25
534,Dakota Bacus,WSH,RP,0,0,7.94,11,0,0,11.1,14,10,10,1,9,7,0.298,2.03,25
534,Luke Bard,LAA,RP,0,0,6.75,6,0,0,5.1,7,4,4,2,0,7,0.304,1.31,25
534,Luke Farrell,TEX,RP,0,0,8.44,4,0,0,5.1,5,5,5,1,5,8,0.25,1.88,25
534,Josh Taylor,BOS,RP,1,1,9.82,8,0,0,7.1,7,8,8,2,5,7,0.233,1.64,25
534,Clarke Schmidt,NYY,SP,0,1,7.11,3,1,0,6.1,7,5,5,0,5,7,0.389,1.9,25
541,Mike Morin,MIA,RP,1,0,0,3,0,0,4,1,0,0,0,1,2,0.091,0.5,24
541,Robert Gsellman,NYM,RP,0,0,9.64,6,4,0,14,22,15,15,4,8,9,0.361,2.14,24
541,José Ruiz,CHW,RP,0,0,2.25,5,0,0,4,2,1,1,1,0,5,0.143,0.5,24
541,Bruce Zimmermann,BAL,SP,0,0,7.71,2,1,0,7,6,6,6,2,2,7,0.222,1.14,24
545,Michel Baez,SD,RP,0,0,7.71,3,1,0,4.2,7,4,4,0,2,7,0.333,1.93,23
546,Nick Neidert,MIA,SP,0,0,5.4,4,0,0,8.1,10,5,5,1,2,4,0.312,1.44,22
546,Domingo Tapia,BOS,RP,0,0,2.08,5,0,0,4.1,4,1,1,1,2,4,0.235,1.39,22
548,Eric Lauer,MIL,SP,0,2,13.09,4,2,0,11,17,16,16,2,9,12,0.347,2.36,21
548,Mitch White,LAD,SP,1,0,0,2,0,0,3,1,0,0,0,1,2,0.1,0.67,21
548,Demarcus Evans,TEX,RP,0,0,2.25,4,0,0,4,3,1,1,1,0,4,0.231,0.75,21
551,Matt Harvey,KC,SP,0,3,11.57,7,4,0,11.2,27,15,15,6,5,10,0.45,2.74,20
551,Jordan Zimmermann,DET,SP,0,0,7.94,3,2,0,5.2,11,6,5,0,2,6,0.423,2.29,20
551,Sean Newcomb,ATL,RP,0,2,11.2,4,4,0,13.2,20,17,17,4,6,10,0.333,1.9,20
551,Carlos Rodón,CHW,SP,0,2,8.22,4,2,0,7.2,9,7,7,1,3,6,0.29,1.57,20
551,Rob Kaminsky,STL,RP,0,0,1.93,5,0,0,4.2,3,3,1,0,2,3,0.176,1.07,20
551,Gabe Speier,KC,RP,0,1,7.94,8,0,0,5.2,9,5,5,1,4,6,0.346,2.29,20
551,José Quijada,LAA,RP,0,1,7.36,6,0,0,3.2,6,4,3,1,2,6,0.353,2.18,20
558,Mike Montgomery,KC,RP,0,0,5.06,3,1,0,5.1,6,5,3,1,1,4,0.286,1.31,19
558,Kirby Yates,SD,RP,0,1,12.46,6,0,2,4.1,7,6,6,1,4,8,0.35,2.54,19
558,Roberto Osuna,HOU,RP,0,0,2.08,4,0,1,4.1,3,1,1,0,0,3,0.176,0.69,19
558,Tyler Bashlor,PIT,RP,0,0,8.64,8,0,0,8.1,9,8,8,2,4,6,0.281,1.56,19
558,Artie Lewicki,ARI,RP,0,0,5.4,2,0,0,3.1,7,2,2,0,1,5,0.412,2.4,19
558,David Bednar,SD,RP,0,0,7.11,4,0,0,6.1,11,6,5,1,2,5,0.355,2.05,19
564,Jhoulys Chacín,ATL,SP,1,0,7.2,2,0,0,5,6,4,4,1,3,3,0.286,1.8,18
564,Adonis Medina,PHI,SP,0,1,4.5,1,1,0,4,3,2,2,0,3,4,0.2,1.5,18
564,Joel Kuhnel,CIN,RP,1,0,6,3,0,0,3,4,2,2,2,0,3,0.308,1.33,18
564,Ian Hamilton,CHW,RP,0,0,4.5,4,0,0,4,4,2,2,0,5,4,0.267,2.25,18
564,Blake Cederlind,PIT,RP,0,0,4.5,5,0,0,4,3,2,2,0,1,4,0.2,1,18
569,Ken Giles,TOR,RP,0,0,9.82,4,0,1,3.2,4,4,4,2,4,6,0.267,2.18,17
569,Danny Coulombe,MIN,RP,0,0,0,2,0,0,2.2,2,0,0,0,3,3,0.2,1.88,17
569,Beau Burrows,DET,SP,0,0,5.4,5,0,0,6.2,8,4,4,3,1,3,0.286,1.35,17
569,Joey Lucchesi,SD,SP,0,1,7.94,3,2,0,5.2,13,5,5,0,2,5,0.464,2.65,17
569,Chance Adams,KC,RP,0,0,9.35,6,0,0,8.2,15,9,9,1,0,6,0.375,1.73,17
569,Erik Swanson,SEA,RP,0,2,12.91,9,0,0,7.2,11,12,11,3,2,9,0.344,1.7,17
569,Ryan Meisinger,STL,RP,0,0,0,2,0,0,2.2,1,0,0,0,4,3,0.125,1.88,17
569,Brooks Kriske,NYY,RP,0,0,14.73,4,0,0,3.2,3,6,6,1,7,8,0.2,2.73,17
577,Sean Gilmartin,TB,RP,0,0,8.31,2,0,0,4.1,7,4,4,2,4,5,0.35,2.54,16
577,Nick Burdi,PIT,RP,0,1,3.86,4,0,1,2.1,2,1,1,0,2,4,0.25,1.71,16
577,Ricardo Sánchez,STL,SP,0,0,6.75,3,0,0,5.1,5,4,4,1,5,4,0.25,1.88,16
577,Josh Sborz,LAD,RP,0,0,2.08,4,0,0,4.1,2,1,1,1,1,2,0.133,0.69,16
577,Wil Crowe,WSH,SP,0,2,11.88,3,3,0,8.1,14,13,11,5,8,8,0.378,2.64,16
577,Joe Harvey,COL,RP,0,0,0,4,0,0,3.1,3,0,0,0,0,2,0.231,0.9,16
577,Bryan Abreu,HOU,RP,0,0,2.7,4,0,0,3.1,1,2,1,0,7,3,0.091,2.4,16
577,Aaron Fletcher,SEA,RP,0,0,12.46,6,0,0,4.1,7,6,6,1,7,7,0.35,3.23,16
585,Ray Black,MIL,RP,0,0,3,3,0,0,3,2,1,1,0,3,3,0.182,1.67,15
585,Anthony Banda,TB,SP,1,0,10.29,4,0,1,7,10,9,8,1,5,4,0.333,2.14,15
585,Scott Blewett,KC,RP,0,0,6,2,0,0,3,6,2,2,0,1,4,0.4,2.33,15
585,Kevin McCarthy,KC,RP,0,0,4.5,5,0,0,6,10,3,3,1,2,2,0.385,2,15
585,Alex McRae,CHW,RP,0,0,0,2,0,0,3,1,0,0,0,0,2,0.1,0.33,15
585,Kyle Hart,BOS,RP,0,1,15.55,4,3,0,11,24,21,19,4,10,13,0.429,3.09,15
591,Jeff Samardzija,SF,SP,0,2,9.72,5,4,0,16.2,21,19,18,7,4,6,0.296,1.5,14
591,Foster Griffin,KC,SP,1,0,0,1,0,0,1.2,0,0,0,0,0,1,0,0,14
591,James Kaprielian,OAK,SP,0,0,7.36,2,0,0,3.2,4,3,3,2,2,4,0.267,1.64,14
591,Trent Thornton,TOR,SP,0,0,11.12,3,3,0,5.2,15,7,7,0,3,6,0.517,3.18,14
