Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
58318-68518,P,Spencer,Spencer Turnbull,Turnbull,23.333333333333332,3,8000,DET@BOS,DET,BOS,,,,,0,P
58318-79073,P,Mike,Mike Soroka,Soroka,17,3,8000,ATL@WSH,ATL,WSH,IL,Shoulder,,,0,P
58318-83190,P,Freddy,Freddy Peralta,Peralta,37.333333333333336,6,8000,MIL@PHI,MIL,PHI,,,,,0,P
58318-101804,P,Huascar,Huascar Ynoa,Ynoa,29.5,6,8000,ATL@WSH,ATL,WSH,,,,Yes,,P
58318-5466,P,Charlie,Charlie Morton,Morton,30.166666666666668,6,7900,ATL@WSH,ATL,WSH,,,,,0,P
58318-102001,P,Yusei,Yusei Kikuchi,Kikuchi,29.2,5,7900,BAL@SEA,SEA,BAL,,,,,,P
58318-5767,P,J.A.,J.A. Happ,Happ,28.25,4,7900,TEX@MIN,MIN,TEX,,,,Yes,,P
58318-102523,P,Deivi,Deivi Garcia,Garcia,18,1,7800,HOU@NYY,NYY,HOU,,,,,0,P
58318-53608,P,Jose,Jose Urena,Urena,28.5,6,7800,DET@BOS,DET,BOS,,,,,0,P
58318-13233,P,Nathan,Nathan Eovaldi,Eovaldi,31.666666666666668,6,7800,DET@BOS,BOS,DET,,,,,0,P
58318-79147,P,Jakob,Jakob Junis,Junis,18.571428571428573,7,7800,CLE@KC,KC,CLE,,,,,0,P
58318-85269,P,Cole,Cole Irvin,Irvin,28.6,5,7700,TOR@OAK,OAK,TOR,,,,Yes,,P
58318-79224,P,Chris,Chris Paddack,Paddack,20,5,7700,PIT@SD,SD,PIT,IL,Undisclosed,,,,P
58318-71034,P,Seth,Seth Lugo,Lugo,13.125,16,7700,NYM@STL,NYM,STL,IL,Elbow,,,,P
58318-52185,P,Max,Max Fried,Fried,11,3,7600,ATL@WSH,ATL,WSH,IL,Hamstring,,,0,P
58318-38272,P,Mike,Mike Foltynewicz,Foltynewicz,27.166666666666668,6,7600,TEX@MIN,TEX,MIN,,,,,0,P
58318-63781,P,Frankie,Frankie Montas,Montas,25.5,6,7500,TOR@OAK,OAK,TOR,,,,,,P
58318-82535,P,Kyle,Kyle Wright,Wright,22,1,7500,ATL@WSH,ATL,WSH,,,,,0,P
58318-79254,P,Dakota,Dakota Hudson,Hudson,25.5,8,7500,NYM@STL,STL,NYM,IL,Elbow,,,,P
58318-53067,P,Chris,Chris Bassitt,Bassitt,31.666666666666668,6,7500,TOR@OAK,OAK,TOR,,,,,,P
58318-79853,P,Jordan,Jordan Montgomery,Montgomery,24.6,5,7500,HOU@NYY,NYY,HOU,,,,,0,P
58318-110822,P,Jose,Jose Urquidy,Urquidy,26.833333333333332,6,7400,HOU@NYY,HOU,NYY,,,,,0,P
58318-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,32,5,7400,HOU@NYY,HOU,NYY,,,,,0,P
58318-79103,P,Dane,Dane Dunning,Dunning,24.333333333333332,6,7400,TEX@MIN,TEX,MIN,,,,,0,P
58318-13627,P,Corey,Corey Kluber,Kluber,27.666666666666668,6,7300,HOU@NYY,NYY,HOU,,,,,0,P
58318-81490,P,Chris,Chris Flexen,Flexen,26.8,5,7300,BAL@SEA,SEA,BAL,,,,,,P
58318-65987,P,Domingo,Domingo German,German,27.5,4,7200,HOU@NYY,NYY,HOU,,,,Yes,,P
58318-13019,P,Garrett,Garrett Richards,Richards,23.5,6,7200,DET@BOS,BOS,DET,,,,,0,P
58318-5431,P,Adam,Adam Wainwright,Wainwright,29,6,7200,NYM@STL,STL,NYM,,,,,,P
58318-82618,P,David,David Peterson,Peterson,27,5,7100,NYM@STL,NYM,STL,,,,,,P
58318-5369,P,Jon,Jon Lester,Lester,18,1,7100,ATL@WSH,WSH,ATL,,,,,0,P
58318-79198,P,Justus,Justus Sheffield,Sheffield,27.4,5,7100,BAL@SEA,SEA,BAL,,,,,,P
58318-53029,P,Robbie,Robbie Ray,Ray,30.25,4,7100,TOR@OAK,TOR,OAK,,,,,,P
58318-104584,P,Zach,Zach Plesac,Plesac,23.5,6,7000,CLE@KC,CLE,KC,,,,,,P
58318-16961,P,Jameson,Jameson Taillon,Taillon,24.2,5,7000,HOU@NYY,NYY,HOU,,,,,0,P
58318-37999,P,Michael,Michael Wacha,Wacha,21.333333333333332,6,7000,TB@LAA,TB,LAA,,,,,0,P
58318-52873,P,Joe,Joe Ross,Ross,26.25,4,7000,ATL@WSH,WSH,ATL,,,,Yes,,P
58318-5983,P,Rich,Rich Hill,Hill,19.333333333333332,6,7000,TB@LAA,TB,LAA,,,,,0,P
58318-12481,P,Mike,Mike Minor,Minor,25,5,6900,CLE@KC,KC,CLE,,,,Yes,,P
58318-17121,P,Miles,Miles Mikolas,Mikolas,,,6900,NYM@STL,STL,NYM,IL,Shoulder,,,,P
58318-68452,P,Kenta,Kenta Maeda,Maeda,23,6,6900,TEX@MIN,MIN,TEX,,,,,,P
58318-52190,P,Marco,Marco Gonzales,Gonzales,23.4,5,6900,BAL@SEA,SEA,BAL,IL,Forearm,,,,P
58318-79118,P,Triston,Triston McKenzie,McKenzie,20.8,5,6900,CLE@KC,CLE,KC,,,,,,P
58318-5416,P,Brett,Brett Anderson,Anderson,17,4,6900,MIL@PHI,MIL,PHI,IL,Hamstring,,,0,P
58318-12918,P,Julio,Julio Teheran,Teheran,27,1,6800,DET@BOS,DET,BOS,IL,Shoulder,,,0,P
58318-146130,P,Kohei,Kohei Arihara,Arihara,13.5,6,6800,TEX@MIN,TEX,MIN,DTD,Finger,,,0,P
58318-39686,P,Carlos,Carlos Martinez,Martinez,24.666666666666668,6,6800,NYM@STL,STL,NYM,,,,,,P
58318-79226,P,Eric,Eric Lauer,Lauer,30,1,6800,MIL@PHI,MIL,PHI,,,,Yes,,P
58318-68654,P,John,John Gant,Gant,26.6,5,6700,NYM@STL,STL,NYM,,,,,,P
58318-118411,P,Kwang Hyun,Kwang Hyun Kim,Kim,26.666666666666668,3,6700,NYM@STL,STL,NYM,,,,,,P
58318-17074,P,Matt,Matt Harvey,Harvey,23.166666666666668,6,6600,BAL@SEA,BAL,SEA,,,,,,P
58318-60627,P,Touki,Touki Toussaint,Toussaint,13.571428571428571,7,6600,ATL@WSH,ATL,WSH,IL,Shoulder,,,0,P
58318-13727,P,Josh,Josh Lindblom,Lindblom,4,5,6600,MIL@PHI,MIL,PHI,IL,Knee,,,0,P
58318-12921,P,Chris,Chris Archer,Archer,11,2,6500,TB@LAA,TB,LAA,IL,Forearm,,,0,P
