Rank,Name,Team,Pos,W,L,ERA,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,AVG,WHIP,PTS
253,Chris Stratton,PIT,RP,1,0,5.65,12,0,0,14.1,17,10,9,3,2,13,0.293,1.33,61
253,J.B. Wendelken,OAK,RP,0,0,4.38,15,0,0,12.1,15,7,6,1,5,14,0.283,1.62,61
258,Daniel Hudson,WSH,RP,2,0,2.25,8,0,0,8,4,2,2,2,4,10,0.143,1,60
258,Brad Hand,WSH,RP,2,0,0,8,0,3,9,4,1,0,0,4,7,0.138,0.89,60
258,Michael King,NYY,SP,0,0,0,3,0,0,11,4,0,0,0,4,9,0.111,0.73,60
261,Robert Stephenson,COL,RP,0,1,3.09,12,0,0,11.2,13,7,4,2,2,12,0.255,1.29,59
261,Kent Emanuel,HOU,SP,1,0,1.69,3,0,0,10.2,6,2,2,2,0,9,0.167,0.56,59
261,Alex Young,ARI,SP,0,3,2.53,12,0,0,10.2,7,4,3,2,7,12,0.184,1.31,59
261,Drew Rasmussen,MIL,SP,0,1,6.17,11,0,0,11.2,12,11,8,2,8,16,0.24,1.71,59
265,José Cisnero,DET,RP,0,1,6.1,12,0,0,10.1,11,8,7,2,6,16,0.262,1.65,58
265,Greg Holland,KC,RP,2,1,4.36,11,0,2,10.1,11,6,5,3,8,10,0.262,1.84,58
267,Casey Sadler,SEA,RP,0,1,1.64,11,0,0,11,8,3,2,0,6,10,0.205,1.27,57
267,Alec Mills,CHC,RP,1,0,5.68,10,1,1,19,20,12,12,4,4,10,0.27,1.26,57
267,Aaron Slegers,LAA,SP,1,0,3.27,12,0,0,11,15,4,4,1,2,10,0.326,1.55,57
267,Trevor Richards,TB,SP,0,0,4.91,5,0,1,11,9,6,6,2,3,14,0.22,1.09,57
267,Kevin Ginkel,ARI,RP,0,0,3.27,13,0,0,11,10,5,4,3,4,12,0.238,1.27,57
267,Caleb Baragar,SF,SP,2,0,0,10,0,0,7,6,1,0,0,4,8,0.231,1.43,57
273,Hunter Strickland,TB,RP,0,0,1.69,8,0,0,10.2,8,2,2,1,3,10,0.205,1.03,56
273,Chad Kuhl,PIT,SP,0,1,6.32,4,4,0,15.2,12,14,11,4,16,14,0.222,1.79,56
273,Tyler Alexander,DET,SP,0,0,4.97,7,0,0,12.2,14,7,7,4,4,13,0.275,1.42,56
276,Brooks Raley,HOU,SP,0,1,7.3,14,0,1,12.1,11,10,10,2,3,16,0.229,1.14,55
276,Tim Mayza,TOR,RP,1,0,0,12,0,0,8.1,7,0,0,0,2,8,0.233,1.08,55
276,Riley Smith,ARI,SP,1,1,4.77,5,2,0,17,21,10,9,1,6,7,0.304,1.59,55
279,Kyle Crick,PIT,RP,0,0,0,10,0,0,10,1,0,0,0,4,8,0.036,0.5,54
279,Luke Jackson,ATL,RP,1,0,1.8,11,0,0,10,8,2,2,1,8,8,0.222,1.6,54
279,Jorge Alcala,MIN,RP,0,0,3.27,10,0,0,11,5,4,4,3,2,11,0.139,0.64,54
282,Johan Oviedo,STL,SP,0,0,2.79,2,1,0,9.2,5,3,3,1,4,11,0.156,0.93,53
282,Ross Stripling,TOR,SP,0,1,6.4,3,3,0,12.2,18,9,9,2,4,14,0.327,1.74,53
282,Aaron Bummer,CHW,RP,0,1,2.08,11,0,0,8.2,9,4,2,0,6,11,0.257,1.73,53
282,Cody Stashak,MIN,RP,0,0,7.27,10,0,0,8.2,9,7,7,1,5,16,0.257,1.62,53
286,Angel Perdomo,MIL,SP,1,0,6.14,8,0,0,7.1,5,5,5,2,5,13,0.2,1.36,52
286,Wandy Peralta,NYY,RP,2,1,4.82,11,0,2,9.1,11,5,5,1,3,9,0.297,1.5,52
286,Phillips Valdez,BOS,RP,1,0,3.48,8,0,0,10.1,4,5,4,0,4,9,0.111,0.77,52
286,Tanner Houck,BOS,SP,0,2,4.36,3,2,0,10.1,14,7,5,1,1,12,0.304,1.45,52
286,Connor Brogdon,PHI,RP,3,1,7.15,12,0,0,11.1,11,9,9,2,6,9,0.256,1.5,52
291,Brad Boxberger,MIL,RP,0,0,2,10,0,1,9,5,2,2,1,2,10,0.156,0.78,51
291,Raisel Iglesias,LAA,RP,1,2,7.2,11,0,4,10,12,10,8,3,1,13,0.293,1.3,51
291,Lucas Sims,CIN,SP,0,1,7.2,11,0,1,10,5,9,8,2,7,15,0.147,1.2,51
291,Joel Payamps,TOR,RP,0,1,2.25,9,0,0,12,13,3,3,2,1,8,0.277,1.17,51
295,David Price,LAD,SP,1,0,5.59,7,0,1,9.2,14,7,6,3,4,11,0.318,1.86,50
295,Keynan Middleton,SEA,RP,0,0,3.09,10,0,2,11.2,4,4,4,1,5,9,0.105,0.77,50
295,Nabil Crismatt,SD,SP,1,1,3.12,4,0,0,8.2,12,4,3,0,3,9,0.333,1.73,50
295,Trevor Stephan,CLE,SP,0,0,5.91,7,0,0,10.2,12,7,7,4,5,13,0.267,1.59,50
295,Ljay Newsome,SEA,SP,1,1,7.11,5,1,0,12.2,16,11,10,4,3,12,0.296,1.5,50
300,Sean Newcomb,ATL,RP,1,0,8.53,7,0,1,6.1,7,6,6,1,6,14,0.28,2.05,49
300,José Ruiz,CHW,RP,0,1,1.93,9,0,0,9.1,3,2,2,0,5,9,0.094,0.86,49
300,Anthony Castro,TOR,RP,0,0,0,6,0,1,7.1,3,0,0,0,1,9,0.12,0.55,49
303,José Álvarez,SF,RP,1,1,3.38,10,0,0,8,7,4,3,0,7,9,0.212,1.75,48
303,Yoan López,ARI,RP,0,0,6.3,11,0,0,10,13,8,7,3,5,13,0.295,1.8,48
303,Carlos Estévez,COL,RP,0,0,3.6,10,0,1,10,10,5,4,1,4,10,0.263,1.4,48
303,Cal Quantrill,CLE,SP,0,0,2.57,9,0,0,14,11,4,4,2,8,6,0.22,1.36,48
303,Anthony Misiewicz,SEA,RP,2,1,2.7,13,0,0,10,9,3,3,1,2,5,0.225,1.1,48
303,Garrett Crochet,CHW,SP,0,2,1,8,0,0,9,9,4,1,0,5,8,0.257,1.56,48
309,Ross Detwiler,MIA,SP,0,0,3.12,11,1,0,8.2,6,3,3,0,7,10,0.188,1.5,47
309,Jordan Romano,TOR,SP,2,1,2.7,8,0,0,6.2,5,3,2,0,5,7,0.192,1.5,47
311,Tony Watson,LAA,RP,1,0,1.08,9,0,0,8.1,5,1,1,1,1,6,0.172,0.72,46
311,Alex Claudio,LAA,RP,0,0,4.82,10,0,0,9.1,12,6,5,0,2,11,0.293,1.5,46
311,Stephen Strasburg,WSH,SP,0,1,6.3,2,2,0,10,9,8,7,3,7,11,0.231,1.6,46
311,Adam Cimber,MIA,RP,0,0,3.65,13,0,0,12.1,11,6,5,0,5,8,0.244,1.3,46
311,Kyle Cody,TEX,SP,0,2,7.94,7,0,0,11.1,16,11,10,3,2,14,0.327,1.59,46
311,Matt Foster,CHW,RP,1,1,9.72,10,0,0,8.1,8,9,9,2,3,14,0.25,1.32,46
317,Darren O'Day,NYY,RP,0,0,3,10,0,0,9,8,3,3,1,2,9,0.222,1.11,45
317,Richard Bleier,MIA,RP,1,0,4.91,12,0,0,11,11,6,6,4,0,8,0.268,1,45
319,Ryan Tepera,CHC,RP,0,0,5.06,12,0,0,10.2,9,6,6,2,5,10,0.243,1.31,44
319,Phil Maton,CLE,RP,0,0,4.15,8,0,0,8.2,6,4,4,1,4,10,0.207,1.15,44
321,David Hale,PHI,RP,0,1,4.38,8,0,0,12.1,11,7,6,3,5,8,0.224,1.3,43
321,Hansel Robles,MIN,RP,0,1,4.36,11,0,0,10.1,4,6,5,0,6,9,0.114,0.97,43
321,Aaron Loup,NYM,RP,0,0,0,7,0,0,6.1,3,2,0,0,1,8,0.158,0.63,43
321,Nick Nelson,NYY,SP,0,2,9.72,6,1,0,8.1,11,10,9,0,5,15,0.306,1.92,43
321,Jordan Sheffield,COL,RP,0,0,2.16,9,0,0,8.1,5,2,2,1,2,8,0.172,0.84,43
326,Steve Cishek,LAA,RP,0,0,5,10,0,0,9,10,8,5,0,9,10,0.278,2.11,42
326,Jeurys Familia,NYM,RP,0,0,1.29,9,0,1,7,7,2,1,0,4,8,0.25,1.57,42
326,Corey Knebel,LAD,RP,1,0,4.5,8,0,2,6,3,3,3,0,3,9,0.143,1,42
326,Jordan Hicks,STL,RP,0,0,5.4,10,0,0,10,5,6,6,0,10,10,0.147,1.5,42
326,Stefan Crichton,ARI,RP,0,0,4.5,12,0,3,10,13,6,5,0,4,9,0.31,1.7,42
326,Jordan Holloway,MIA,RP,0,0,0,4,0,0,7,2,0,0,0,1,7,0.087,0.43,42
332,Alex Colomé,MIN,RP,1,3,7.45,10,0,2,9.2,13,15,8,2,5,10,0.295,1.86,41
332,Tyler Duffey,MIN,RP,0,0,3.12,10,0,0,8.2,6,3,3,1,7,8,0.2,1.5,41
332,Scott Alexander,LAD,RP,0,2,2.31,13,0,0,11.2,7,4,3,1,1,5,0.163,0.69,41
332,Logan Allen,CLE,RP,1,4,9.19,5,5,0,15.2,20,18,16,7,7,12,0.303,1.72,41
332,Travis Lakins Sr.,BAL,RP,1,2,2.08,10,0,0,8.2,4,3,2,1,6,5,0.133,1.15,41
332,Dillon Tate,BAL,RP,0,1,3.09,10,0,0,11.2,8,5,4,2,2,6,0.195,0.86,41
332,Tyler Wells,BAL,SP,0,0,6.52,6,0,0,9.2,8,7,7,4,3,11,0.222,1.14,41
339,Nate Jones,ATL,RP,0,2,3.48,12,0,0,10.1,8,6,4,3,10,7,0.195,1.74,40
339,Pierce Johnson,SD,RP,0,1,4.91,9,0,0,7.1,7,4,4,0,2,10,0.25,1.23,40
339,Justin Steele,CHC,SP,0,0,4.26,5,0,0,6.1,6,4,3,2,1,10,0.24,1.11,40
339,Josh Taylor,BOS,RP,0,0,7.84,11,0,0,10.1,18,9,9,1,5,12,0.375,2.23,40
339,Alex Lange,DET,SP,0,0,4.91,8,0,0,7.1,8,4,4,2,2,10,0.267,1.36,40
339,Paul Campbell,MIA,SP,0,2,8.74,5,1,0,11.1,19,14,11,1,6,13,0.365,2.21,40
339,Tyler Zuber,KC,RP,0,0,4.32,7,0,0,8.1,5,4,4,1,3,9,0.167,0.96,40
346,Brandon Workman,CHC,RP,0,2,6.75,10,0,0,8,12,9,6,2,7,11,0.324,2.38,39
346,Daniel Bard,COL,RP,1,2,9,10,0,2,9,16,10,9,2,5,11,0.356,2.33,39
346,Zach Pop,MIA,RP,0,0,7,8,0,0,9,6,7,7,2,4,11,0.182,1.11,39
346,Nick Margevicius,SEA,RP,0,2,8.25,5,3,0,12,13,16,11,2,7,12,0.25,1.67,39
346,Victor González,LAD,SP,0,0,2,12,0,1,9,8,2,2,0,6,6,0.235,1.56,39
346,Brett De Geus,TEX,RP,0,0,6.75,9,0,0,12,9,9,9,1,6,10,0.22,1.25,39
352,Heath Hembree,CIN,RP,0,0,0,5,0,0,5.2,0,0,0,0,2,7,0,0.35,38
352,Anthony Bass,MIA,RP,1,2,5.59,11,0,0,9.2,10,6,6,2,2,7,0.303,1.24,38
352,Bryan Garcia,DET,RP,0,0,5.59,9,0,2,9.2,8,6,6,1,7,9,0.216,1.55,38
355,Ben Rowen,LAA,RP,0,0,2.89,7,0,0,9.1,8,4,3,1,2,6,0.235,1.07,37
355,Randy Dobnak,MIN,RP,0,3,8.16,7,0,1,14.1,18,14,13,4,3,11,0.295,1.47,37
357,Sean Reid-Foley,NYM,SP,0,0,0,2,0,0,5,2,0,0,0,0,7,0.125,0.4,36
357,Ryan Hendrix,CIN,RP,2,0,0,5,0,0,3,0,0,0,0,3,5,0,1,36
359,Hyeon-Jong Yang,TEX,SP,0,0,2.08,2,0,0,8.2,6,2,2,1,1,5,0.188,0.81,35
359,Wil Crowe,PIT,SP,0,1,4.66,3,2,0,9.2,8,5,5,1,8,7,0.229,1.66,35
361,Sam Clay,WSH,RP,0,0,4.32,9,0,0,8.1,6,4,4,1,4,7,0.194,1.2,34
361,Julian Merryweather,TOR,SP,0,0,0,4,0,2,4.1,1,0,0,0,1,7,0.067,0.46,34
361,Daniel Castano,MIA,SP,0,1,4.73,3,3,0,13.1,14,7,7,2,5,5,0.275,1.43,34
361,Jacob Webb,ATL,RP,0,1,7.56,8,0,0,8.1,12,8,7,3,2,10,0.316,1.68,34
365,Evan Marshall,CHW,RP,0,1,6.75,10,0,0,12,13,9,9,3,3,8,0.277,1.33,33
365,Julio Teheran,DET,SP,2,0,1.8,1,1,0,5,4,1,1,1,3,3,0.235,1.4,33
365,Aaron Northcraft,SD,RP,1,0,3,4,0,0,6,4,2,2,1,6,5,0.2,1.67,33
365,Matt Moore,PHI,SP,0,1,9.82,3,3,0,11,17,13,12,4,9,12,0.354,2.36,33
365,Matt Wisler,SF,RP,0,2,10,12,0,0,9,10,10,10,2,4,12,0.286,1.56,33
365,Max Fried,ATL,SP,0,1,11.46,3,3,0,11,23,15,14,3,5,14,0.426,2.55,33
365,Nick Neidert,MIA,SP,0,1,6.75,3,3,0,12,13,9,9,3,11,8,0.289,2,33
365,Bryse Wilson,ATL,SP,1,2,6.75,3,3,0,12,18,10,9,4,5,6,0.367,1.92,33
373,Joely Rodríguez,TEX,RP,0,1,3.18,6,0,0,5.2,6,2,2,0,1,7,0.273,1.24,32
373,Michael Feliz,PIT,RP,0,0,3.18,6,0,0,5.2,7,3,2,0,1,7,0.292,1.41,32
373,Robert Gsellman,NYM,RP,0,0,2.35,5,0,0,7.2,5,4,2,0,2,5,0.185,0.91,32
373,Sam Hentges,CLE,SP,1,0,4.77,3,0,0,5.2,8,4,3,3,0,6,0.32,1.41,32
373,Joey Lucchesi,NYM,SP,0,2,10.13,4,3,0,10.2,14,12,12,2,3,12,0.326,1.59,32
373,Cionel Pérez,CIN,RP,1,2,8.31,10,0,0,8.2,6,10,8,1,8,8,0.171,1.62,32
