Rank,Name,Team,Pos,W,L,ERA,GMS,GS,SV,IP,H,R,ER,HR,BB,SO,AVG,WHIP,PTS
435,Dinelson Lamet,SD,SP,0,0,0,1,1,0,2,1,0,0,0,1,4,0.143,1,18
435,Miguel Diaz,SD,RP,0,0,0,1,1,0,3,1,0,0,0,2,3,0.1,1,18
435,Deivi García,NYY,SP,0,1,4.5,1,1,0,4,3,2,2,1,3,4,0.2,1.5,18
435,Robert Dugger,SEA,SP,0,0,3.6,2,0,0,5,4,2,2,1,1,3,0.211,1,18
435,Patrick Sandoval,LAA,SP,0,0,0,1,0,0,2,1,0,0,0,2,4,0.143,1.5,18
435,Justin Lawrence,COL,RP,0,0,0,2,0,0,2,2,0,0,0,1,4,0.25,1.5,18
435,Kodi Whitley,STL,RP,0,0,3.6,4,0,0,5,3,2,2,1,2,3,0.167,1,18
445,Wade LeBlanc,BAL,SP,0,1,9.45,6,1,0,6.2,11,7,7,1,1,6,0.355,1.8,17
445,Amir Garrett,CIN,RP,0,1,10.39,11,0,2,8.2,10,10,10,4,8,7,0.278,2.08,17
445,Cam Bedrosian,CIN,RP,0,0,11.12,6,0,0,5.2,10,7,7,2,6,7,0.4,2.82,17
445,Yency Almonte,COL,RP,0,1,12.46,11,0,0,8.2,13,12,12,3,7,9,0.361,2.31,17
445,Adrian Morejon,SD,SP,0,0,3.86,2,2,0,4.2,5,2,2,2,2,3,0.278,1.5,17
445,Travis Bergen,TOR,RP,0,0,0,3,1,0,3.2,2,0,0,0,1,2,0.154,0.82,17
451,Jesse Biddle,ATL,RP,0,0,8.44,4,0,0,5.1,5,5,5,1,2,5,0.25,1.31,16
451,Shawn Armstrong,BAL,RP,0,0,10.8,11,0,0,8.1,10,11,10,3,7,7,0.286,2.04,16
451,Blake Taylor,HOU,SP,0,0,6.75,7,0,0,5.1,8,5,4,2,2,4,0.333,1.88,16
451,Jordan Weems,OAK,RP,0,0,2.7,4,0,0,3.1,1,1,1,1,1,3,0.091,0.6,16
451,Ty Tice,TOR,RP,0,0,4.15,2,0,0,4.1,3,2,2,1,2,3,0.188,1.15,16
456,Derek Holland,DET,RP,0,1,13,8,1,0,9,16,13,13,2,6,9,0.364,2.44,15
456,Nick Ramirez,SD,RP,0,0,7.71,5,0,0,7,9,6,6,2,1,4,0.31,1.43,15
456,Zack Godley,MIL,SP,0,1,9,1,1,0,3,1,4,3,0,5,5,0.1,2,15
456,Chris Devenski,ARI,RP,1,0,9,4,0,1,4,5,4,4,2,0,3,0.294,1.25,15
456,Zack Burdi,CHW,RP,0,0,3,1,0,0,3,3,2,1,1,1,3,0.273,1.33,15
456,Reyes Moronta,SF,RP,0,0,2.25,4,0,0,4,1,1,1,1,0,2,0.077,0.25,15
456,Nivaldo Rodriguez,HOU,SP,0,0,3,1,0,0,3,2,1,1,1,2,3,0.2,1.33,15
463,Kyle Ryan,CHC,RP,0,0,0,2,0,0,2.2,3,0,0,0,1,2,0.273,1.5,14
463,Daniel Lynch,KC,SP,0,0,5.79,1,1,0,4.2,4,3,3,0,4,3,0.25,1.71,14
463,Sean Poppen,PIT,RP,0,0,7.71,3,0,0,4.2,11,7,4,1,2,4,0.478,2.79,14
466,Collin McHugh,TB,RP,0,1,10.13,4,0,0,5.1,12,8,6,1,1,5,0.462,2.44,13
466,Brent Honeywell Jr.,TB,RP,0,0,8.31,3,2,0,4.1,5,4,4,2,3,4,0.278,1.85,13
466,Miguel Yajure,PIT,SP,0,1,8.31,1,1,0,4.1,4,4,4,2,2,4,0.25,1.39,13
469,Archie Bradley,PHI,RP,0,1,6,4,0,0,3,4,2,2,0,1,3,0.308,1.67,12
469,Albert Abreu,NYY,SP,0,0,4.5,2,0,0,2,0,1,1,0,2,3,0,1,12
469,Matt Bush,TEX,RP,0,0,9,3,0,0,3,4,3,3,3,1,4,0.308,1.67,12
469,Ryne Harper,WSH,RP,0,0,3,2,0,0,3,2,1,1,0,1,2,0.2,1,12
469,Peter Solomon,HOU,SP,0,0,0,2,0,0,2,1,0,0,0,1,2,0.143,1,12
469,Trevor Megill,CHC,RP,0,0,0,2,0,0,2,2,0,0,0,1,2,0.25,1.5,12
469,Kyle Nelson,CLE,RP,0,0,0,2,0,0,2,0,0,0,0,1,2,0,0.5,12
476,Anthony Swarzak,ARI,RP,0,1,9.64,6,0,0,4.2,7,5,5,1,1,4,0.35,1.71,11
476,Chris Mazza,TB,RP,0,0,8.49,6,0,0,11.2,16,11,11,1,4,3,0.372,1.71,11
476,Peter Fairbanks,TB,RP,0,0,3.38,3,0,0,2.2,3,1,1,0,2,2,0.3,1.88,11
479,Adam Kolarek,OAK,RP,0,0,8.44,8,0,0,5.1,8,6,5,2,2,3,0.308,1.88,10
479,Elieser Hernandez,MIA,SP,0,0,7.71,1,1,0,2.1,2,2,2,1,0,3,0.222,0.86,10
479,Enoli Paredes,HOU,SP,0,0,0,3,0,0,1.1,2,1,0,0,6,2,0.4,6,10
482,Burch Smith,OAK,RP,0,0,3,2,0,0,3,3,1,1,0,1,1,0.3,1.33,9
482,Domingo Tapia,SEA,RP,0,0,0,2,0,0,2,4,0,0,0,1,1,0.4,2.5,9
482,Brad Wieck,CHC,RP,0,0,0,1,0,0,1,1,0,0,0,1,2,0.25,2,9
485,James Hoyt,LAA,RP,0,0,0,1,0,0,0.2,0,0,0,0,2,2,0,3,8
485,Wyatt Mills,SEA,RP,0,0,6.75,2,0,0,2.2,2,2,2,1,1,2,0.2,1.13,8
487,James Paxton,SEA,SP,0,0,6.75,1,1,0,1.1,0,1,1,0,1,2,0,0.75,7
487,Anthony Kay,TOR,SP,0,1,10.8,1,1,0,3.1,6,5,4,0,0,3,0.375,1.8,7
487,Trevor Hildenberger,NYM,RP,0,0,15.43,2,0,0,2.1,3,4,4,1,3,4,0.3,2.57,7
487,Dan Altavilla,SD,RP,0,0,6.75,2,0,0,1.1,1,1,1,1,0,2,0.2,0.75,7
487,Zack Littell,SF,RP,0,0,0,2,0,0,1.1,0,0,0,0,2,1,0,1.5,7
487,Jay Flaa,BAL,RP,0,0,0,1,0,0,1.1,0,0,0,0,2,1,0,1.5,7
493,Luis Avilán,WSH,RP,0,1,12.6,4,0,0,5,7,7,7,1,3,4,0.333,2,6
493,Luke Farrell,MIN,RP,0,0,0,1,0,0,1,0,0,0,0,2,1,0,2,6
493,Sam Selman,SF,RP,0,0,0,1,0,0,1,0,0,0,0,2,1,0,2,6
493,Bailey Falter,PHI,SP,0,0,9,1,0,0,2,4,2,2,1,0,2,0.444,2,6
493,Louis Head,TB,RP,0,0,6.75,3,0,0,4,4,3,3,0,2,1,0.286,1.5,6
493,Zac Lowther,BAL,SP,0,0,0,1,0,0,1,1,0,0,0,0,1,0.25,1,6
493,Nick Sandlin,CLE,RP,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6
493,Edwin Uceta,LAD,SP,0,1,9,1,1,0,2,4,2,2,1,1,2,0.5,2.5,6
493,Eduard Bazardo,BOS,RP,0,0,0,1,0,0,1,0,0,0,0,2,1,0,2,6
502,Chris Martin,ATL,RP,0,1,5.4,2,0,0,1.2,4,1,1,0,1,1,0.444,3,5
502,Edgar Santana,ATL,RP,0,0,5.4,2,0,0,1.2,2,1,1,1,0,1,0.333,1.2,5
504,Jesse Hahn,KC,RP,0,0,13.5,5,0,1,3.1,5,5,5,2,4,3,0.357,2.7,4
504,Brandon Waddell,MIN,SP,0,0,8.1,3,0,0,3.1,7,3,3,1,3,1,0.412,3,4
504,Jake Newberry,KC,RP,0,0,16.62,4,0,0,4.1,10,8,8,2,3,5,0.476,3,4
504,Ramón Rosso,PHI,SP,0,0,0,1,0,0,1.1,1,0,0,0,0,0,0.25,0.75,4
508,Dellin Betances,NYM,RP,0,0,9,1,0,0,1,0,1,1,0,1,1,0,1,3
508,Mike Kickham,LAD,RP,0,0,13.5,1,0,0,2,5,3,3,1,1,2,0.5,3,3
508,Keegan Thompson,CHC,SP,0,0,0,1,0,0,1,2,0,0,0,1,0,0.5,3,3
508,Brooks Kriske,NYY,RP,0,0,9,1,0,0,1,1,1,1,1,2,1,0.25,3,3
508,Alex Vesia,LAD,RP,0,1,18,1,0,0,1,0,4,2,0,4,2,0,4,3
513,Joakim Soria,ARI,RP,0,0,0,1,0,0,0.2,0,0,0,0,2,0,0,3,2
513,Chaz Roe,TB,RP,0,0,27,1,0,0,0.2,1,2,2,0,1,2,0.333,3,2
515,Gregory Santos,SF,SP,0,2,22.5,3,0,0,2,5,6,5,3,2,3,0.417,3.5,0
515,Kris Bubic,KC,SP,0,0,18,1,0,0,1,3,2,2,0,0,1,0.5,3,0
515,Andre Scrubb,HOU,RP,0,0,18,1,0,0,1,2,2,2,0,2,1,0.4,4,0
515,Lucas Gilbreath,COL,SP,0,0,9,1,0,0,1,2,1,1,1,0,0,0.5,2,0
519,Ryan Sherriff,TB,RP,0,0,27,1,0,0,0.1,2,1,1,0,0,0,0.667,6,-2
519,Brusdar Graterol,LAD,RP,0,0,20.25,3,0,0,1.1,3,3,3,0,2,1,0.429,3.75,-2
521,Phil Bickford,MIL,RP,0,0,18,1,0,0,1,2,2,2,1,1,0,0.5,3,-3
522,Jordan Zimmermann,MIL,SP,0,0,12.27,1,0,0,3.2,5,5,5,1,2,0,0.312,1.91,-4
522,Reymin Guduan,OAK,RP,0,0,12.71,5,0,0,5.2,12,8,8,0,4,1,0.5,2.82,-4
524,Joe Jiménez,DET,RP,0,0,45,2,0,0,1,0,5,5,0,7,2,0,7,-6
524,Stephen Tarpley,NYM,RP,0,0,0,1,0,0,0,1,2,2,0,2,0,1,0,-6
526,Jonathan Stiever,CHW,SP,0,0,0,1,0,0,0,4,3,3,0,0,0,1,0,-9
527,Shelby Miller,CHC,SP,0,0,31.5,3,0,0,2,7,7,7,0,5,1,0.583,6,-12
528,Jaime Barria,LAA,SP,0,0,31.5,1,0,0,2,6,7,7,0,4,0,0.545,5,-15
529,Alec Bettinger,MIL,SP,0,1,24.75,1,1,0,4,11,11,11,2,2,0,0.5,3.25,-21
